"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"127" "PessimalClass" -2.9595 0.171076282436515 0 0.1711
"125" "MinorityClass" -2.9424 0.171353640370728 0.3198 0.1714
"121" "RandomClass_A" -1.9545 0.238024133683102 0.3249 0.238
"123" "RandomClass_C" -1.5348 0.352237957082051 0.3503 0.3522
"122" "RandomClass_B" -1.5071 0.362861771334468 0.3147 0.3629
"41" "svmRadialCost_C0.01" -1.3276 0.440813901294976 0.3503 0.4408
"124" "MajorityClass" -1.3276 0.440813901294976 0.3503 0.4408
"51" "svmPoly_d_1_s_0.001" -0.7212 0.715447876008943 0.6802 0.7154
"114" "pls_ncomp1" -0.7212 0.715447876008943 0.6802 0.7154
"116" "simpls_ncomp1" -0.7212 0.715447876008943 0.6802 0.7154
"28" "mlp_1" -0.4577 0.80690714304967 0.8122 0.8069
"18" "fda_prune2" -0.4143 0.824401611496399 0.8223 0.8244
"54" "svmPoly_d_2_s_0.001" -0.2897 0.869600000041902 0.868 0.8696
"9" "ctree_c0.01" -0.1221 0.910001889801392 0.8782 0.91
"10" "ctree_c0.05" -0.1221 0.910001889801392 0.8782 0.91
"11" "ctree_c0.99" -0.1221 0.910001889801392 0.8782 0.91
"12" "JRip" -0.1221 0.910001889801392 0.8782 0.91
"70" "bagFDA_prune2" -0.0346 0.923850354076953 0.9391 0.9239
"115" "pls_ncomp2" -0.0336 0.923982134786937 0.9391 0.924
"117" "simpls_ncomp2" -0.0336 0.923982134786937 0.9391 0.924
"2" "c5.0_winnow" -0.0066 0.927609641132274 0.9289 0.9276
"8" "rpart" 0.0182 0.930740951713305 0.9442 0.9307
"88" "cforest_mtry2" 0.0207 0.931053505107324 0.934 0.9311
"71" "bagFDA_prune4" 0.0284 0.931991995645857 0.9594 0.932
"89" "cforest_mtry4" 0.0628 0.935991524023846 0.9391 0.936
"24" "W_NB" 0.0682 0.936580559835748 0.9442 0.9366
"25" "NB" 0.0682 0.936580559835748 0.9442 0.9366
"26" "NB_laplace" 0.0682 0.936580559835748 0.9442 0.9366
"13" "JRip_Unp" 0.0763 0.937456278241133 0.934 0.9375
"3" "J48" 0.0773 0.937561677057733 0.934 0.9376
"4" "J48Unp" 0.0773 0.937561677057733 0.934 0.9376
"1" "c5.0" 0.1383 0.94356204104563 0.9442 0.9436
"17" "sda_L1.0" 0.1632 0.945773653070464 0.9492 0.9458
"19" "fda_prune9" 0.1713 0.946456827217275 0.9797 0.9465
"21" "mda_subc2" 0.1776 0.946982996904886 0.9848 0.947
"14" "PART" 0.1787 0.947069582006935 0.9442 0.9471
"57" "svmPoly_d_3_s_0.001" 0.1799 0.947173083609146 0.9543 0.9472
"39" "lvq_5" 0.1903 0.947999555792637 0.9695 0.948
"81" "rrf_mtry2" 0.2593 0.952585702194801 0.9695 0.9526
"90" "cforest_mtry8" 0.4197 0.958744276535359 0.9543 0.9587
"92" "cforest_mtry32" 0.4197 0.958744276535359 0.9543 0.9587
"94" "cforest_mtry128" 0.4197 0.958744276535359 0.9543 0.9587
"93" "cforest_mtry64" 0.4293 0.959019097541915 0.9594 0.959
"91" "cforest_mtry16" 0.4624 0.959938046384453 0.9594 0.9599
"74" "rf_mtry2" 0.5202 0.961540954207178 0.9645 0.9615
"47" "svmLinear_C1" 0.5377 0.962058858117394 0.9746 0.9621
"95" "parRF_mtry2" 0.5531 0.962539633287173 0.9645 0.9625
"102" "knn_k1" 0.568 0.963038046878688 0.9695 0.963
"37" "lvq_1" 0.5705 0.963125348496637 0.9645 0.9631
"103" "knn_k2" 0.573 0.963210134427468 0.9746 0.9632
