"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"125" "MinorityClass" -5.7269 0.282339683676351 0.2857 0.2823
"70" "bagFDA_prune2" -2.5235 0.170915000113608 0 0.1709
"127" "PessimalClass" -2.5235 0.170915000113608 0 0.1709
"18" "fda_prune2" -1.9583 0.210134238143072 0.1429 0.2101
"19" "fda_prune9" -1.9583 0.210134238143072 0.1429 0.2101
"20" "fda_prune17" -1.9583 0.210134238143072 0.1429 0.2101
"71" "bagFDA_prune4" -1.9162 0.215257559383449 0.1429 0.2153
"72" "bagFDA_prune8" -0.7138 0.515007632322973 0.5495 0.515
"123" "RandomClass_C" -0.6971 0.532533992509759 0.6374 0.5325
"108" "Ibk_k1" -0.6947 0.535050532576384 0.5714 0.5351
"121" "RandomClass_A" -0.6936 0.536236014089094 0.5934 0.5362
"102" "knn_k1" -0.6892 0.540833792402806 0.6264 0.5408
"122" "RandomClass_B" -0.6885 0.541463116546706 0.6484 0.5415
"36" "pcaNNet" -0.6865 0.54358313079965 0.6044 0.5436
"104" "knn_k3" -0.68 0.549969154502414 0.6099 0.55
"103" "knn_k2" -0.6779 0.551915395478473 0.6209 0.5519
"110" "Ibk_k3" -0.6689 0.559675996538077 0.6154 0.5597
"68" "gbm_3_150" -0.6681 0.56036128623596 0.5934 0.5604
"37" "lvq_1" -0.6659 0.561989027767842 0.5989 0.562
"27" "rbf" -0.6594 0.566623745449892 0.6374 0.5666
"32" "mlp_9" -0.6566 0.568339601788502 0.5879 0.5683
"8" "rpart" -0.6519 0.571045598397298 0.5824 0.571
"38" "lvq_3" -0.6467 0.573697536579653 0.6593 0.5737
"23" "mda_subc4" -0.6391 0.577030058853597 0.6099 0.577
"105" "knn_k5" -0.4153 0.618671106535615 0.6264 0.6187
"31" "mlp_7" -0.3766 0.623885495956116 0.6099 0.6239
"22" "mda_subc3" -0.3486 0.627479821987095 0.6484 0.6275
"126" "OptimalClass" -0.3442 0.628033296400853 1 0.628
"65" "gbm_2_150" -0.3282 0.629997102470705 0.6484 0.63
"67" "gbm_3_100" -0.3276 0.630072237957266 0.6209 0.6301
"62" "gbm_1_150" -0.2895 0.634565656405499 0.6374 0.6346
"59" "svmPoly_d_3_s_0.1" -0.2701 0.636759241175829 0.6209 0.6368
"86" "rrf_mtry64" -0.2677 0.637022876454595 0.6374 0.637
"39" "lvq_5" -0.2463 0.639353055648898 0.6593 0.6394
"109" "Ibk_k2" -0.0883 0.654418918197576 0.6593 0.6544
"33" "avNNet_decay1e04" -0.024 0.661917407672294 0.6648 0.6619
"30" "mlp_5" -0.0217 0.66218281422912 0.6374 0.6622
"111" "Ibk_k5" -0.0214 0.662224022212846 0.6319 0.6622
"64" "gbm_2_100" -0.0196 0.662425382144113 0.6429 0.6624
"69" "treeBag" -0.0187 0.662519153052345 0.6484 0.6625
"63" "gbm_2_50" -0.0184 0.66255681682018 0.6319 0.6626
"34" "avNNet_decay01" -0.0134 0.663072449326756 0.6484 0.6631
"106" "knn_k7" -0.0123 0.66318380854428 0.6538 0.6632
"21" "mda_subc2" -0.0109 0.663316906255777 0.6648 0.6633
"112" "Ibk_k7" -0.0016 0.664160313226021 0.6484 0.6642
"29" "mlp_3" -0.0002 0.664272933136455 0.6484 0.6643
"66" "gbm_3_50" 0.0182 0.665712801495981 0.6593 0.6657
"73" "bagFDA_prune16" 0.0194 0.665799377209533 0.6429 0.6658
"87" "rrf_mtry128" 0.0287 0.666470716593934 0.6813 0.6665
"24" "W_NB" 0.0322 0.666720091748099 0.6593 0.6667
"113" "Ibk_k9" 0.0349 0.666908799068545 0.6538 0.6669
