"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"127" "PessimalClass" -3.3651 0.28151191532857 0 0.2815
"125" "MinorityClass" -3.2988 0.283561411031092 0.0421 0.2836
"41" "svmRadialCost_C0.01" -3.2737 0.284375342826706 0.3551 0.2844
"51" "svmPoly_d_1_s_0.001" -3.2737 0.284375342826706 0.3551 0.2844
"54" "svmPoly_d_2_s_0.001" -3.2737 0.284375342826706 0.3551 0.2844
"124" "MajorityClass" -3.2737 0.284375342826706 0.3551 0.2844
"57" "svmPoly_d_3_s_0.001" -2.8813 0.300760881223468 0.3738 0.3008
"121" "RandomClass_A" -2.5995 0.319477304359433 0.2617 0.3195
"122" "RandomClass_B" -2.5657 0.322394993432889 0.2757 0.3224
"123" "RandomClass_C" -2.5655 0.322408949618123 0.2336 0.3224
"42" "svmRadialCost_C0.1" -2.1883 0.372200529570966 0.4486 0.3722
"35" "avNNet_decay0" -2.1599 0.377133296662496 0.472 0.3771
"36" "pcaNNet" -2.053 0.39583139525511 0.4159 0.3958
"25" "NB" -2.0193 0.401566653159854 0.3505 0.4016
"26" "NB_laplace" -2.0193 0.401566653159854 0.3505 0.4016
"18" "fda_prune2" -1.9696 0.409771380172379 0.4579 0.4098
"45" "svmLinear_C0.01" -1.9171 0.418030312865835 0.4907 0.418
"52" "svmPoly_d_1_s_0.01" -1.9171 0.418030312865835 0.4907 0.418
"55" "svmPoly_d_2_s_0.01" -1.5517 0.465493008137902 0.5421 0.4655
"70" "bagFDA_prune2" -1.5151 0.469671844021435 0.4626 0.4697
"15" "sda_L0.0" -1.4025 0.482298014247252 0.4346 0.4823
"58" "svmPoly_d_3_s_0.01" -1.3703 0.485848082857235 0.5748 0.4858
"40" "SMV" -1.1753 0.506952291171436 0.5701 0.507
"71" "bagFDA_prune4" -0.8412 0.547220077731162 0.5561 0.5472
"17" "sda_L1.0" -0.7835 0.555144364521819 0.5935 0.5551
"114" "pls_ncomp1" -0.7586 0.558454319195898 0.5748 0.5585
"116" "simpls_ncomp1" -0.7586 0.558454319195898 0.5748 0.5585
"115" "pls_ncomp2" -0.7263 0.562660767846664 0.5421 0.5627
"117" "simpls_ncomp2" -0.7263 0.562660767846664 0.5421 0.5627
"24" "W_NB" -0.6938 0.566818387223271 0.5 0.5668
"16" "sda_L0.5" -0.6581 0.571344072581735 0.6028 0.5713
"9" "ctree_c0.01" -0.6258 0.575442670158977 0.5701 0.5754
"10" "ctree_c0.05" -0.6258 0.575442670158977 0.5701 0.5754
"28" "mlp_1" -0.6128 0.577082858098564 0.5701 0.5771
"11" "ctree_c0.99" -0.5827 0.580850604359231 0.5561 0.5809
"12" "JRip" -0.5827 0.580850604359231 0.5561 0.5809
"46" "svmLineart_C0.1" -0.5359 0.586569648745987 0.6075 0.5866
"56" "svmPoly_d_2_s_0.1" -0.5359 0.586569648745987 0.6075 0.5866
"33" "avNNet_decay1e04" -0.434 0.598374744066532 0.5794 0.5984
"29" "mlp_3" -0.247 0.618101089656474 0.6028 0.6181
"47" "svmLinear_C1" -0.2119 0.62144310424526 0.6215 0.6214
"48" "svmLinear_C2" -0.1393 0.627953056733864 0.6215 0.628
"13" "JRip_Unp" -0.1026 0.631052233296004 0.7103 0.6311
"49" "svmLinear_C4" -0.0901 0.632079910746293 0.6262 0.6321
"30" "mlp_5" -0.0279 0.636991988067347 0.6355 0.637
"107" "knn_k9" -0.0119 0.638201014540003 0.6589 0.6382
"50" "svmLinear_C8" 0.0202 0.640571958773478 0.6355 0.6406
"31" "mlp_7" 0.0353 0.641661324948504 0.6308 0.6417
"112" "Ibk_k7" 0.0447 0.642323587988581 0.6308 0.6423
"106" "knn_k7" 0.0863 0.645219164390831 0.6449 0.6452
"23" "mda_subc4" 0.0873 0.645286013936641 0.6963 0.6453
"37" "lvq_1" 0.0874 0.64529099564649 0.6822 0.6453
"43" "svmRadialCost_C1" 0.1038 0.646399372564712 0.6776 0.6464
"105" "knn_k5" 0.1352 0.648487539265068 0.6822 0.6485
"34" "avNNet_decay01" 0.1571 0.649910011616628 0.6542 0.6499
"22" "mda_subc3" 0.1862 0.651774127351153 0.6729 0.6518
