"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"123" "RandomClass_C" -5.8902 0.0400963976147049 0.198 0.0401
"127" "PessimalClass" -3.8751 0.0625721771365272 0 0.0626
"125" "MinorityClass" -3.8703 0.062729114306269 0.0482 0.0627
"121" "RandomClass_A" -3.1232 0.106907159543876 0.1485 0.1069
"122" "RandomClass_B" -2.7484 0.227529704216431 0.2475 0.2275
"41" "svmRadialCost_C0.01" -1.2616 0.429836723118008 0.4059 0.4298
"51" "svmPoly_d_1_s_0.001" -1.2616 0.429836723118008 0.4059 0.4298
"54" "svmPoly_d_2_s_0.001" -1.2616 0.429836723118008 0.4059 0.4298
"124" "MajorityClass" -1.2616 0.429836723118008 0.4059 0.4298
"35" "avNNet_decay0" -0.6804 0.531674209217254 0.5743 0.5317
"57" "svmPoly_d_3_s_0.001" -0.5444 0.615858851477179 0.604 0.6159
"114" "pls_ncomp1" -0.5444 0.615858851477179 0.604 0.6159
"116" "simpls_ncomp1" -0.5444 0.615858851477179 0.604 0.6159
"18" "fda_prune2" -0.5368 0.616260037828045 0.5644 0.6163
"28" "mlp_1" -0.3498 0.626962611638217 0.6139 0.627
"42" "svmRadialCost_C0.1" -0.0021 0.691411032470516 0.6436 0.6914
"70" "bagFDA_prune2" -0.002 0.69342928609194 0.7327 0.6934
"36" "pcaNNet" 0.0008 0.751749599451813 0.7327 0.7517
"115" "pls_ncomp2" 0.0011 0.757378989959482 0.7327 0.7574
"117" "simpls_ncomp2" 0.0011 0.757378989959482 0.7327 0.7574
"71" "bagFDA_prune4" 0.2119 0.791524742322264 0.8713 0.7915
"45" "svmLinear_C0.01" 0.3404 0.800517665229995 0.8317 0.8005
"52" "svmPoly_d_1_s_0.01" 0.3404 0.800517665229995 0.8317 0.8005
"9" "ctree_c0.01" 0.5423 0.81433306722424 0.8614 0.8143
"10" "ctree_c0.05" 0.5423 0.81433306722424 0.8614 0.8143
"11" "ctree_c0.99" 0.5423 0.81433306722424 0.8614 0.8143
"12" "JRip" 0.5423 0.81433306722424 0.8614 0.8143
"8" "rpart" 0.6759 0.830854996531576 0.8713 0.8309
"91" "cforest_mtry16" 0.6777 0.841578696224116 0.8416 0.8416
"92" "cforest_mtry32" 0.6777 0.841578696224116 0.8416 0.8416
"93" "cforest_mtry64" 0.6777 0.841578687257459 0.8614 0.8416
"94" "cforest_mtry128" 0.6777 0.841578687257459 0.8614 0.8416
"88" "cforest_mtry2" 0.6782 0.848674776091672 0.8515 0.8487
"89" "cforest_mtry4" 0.6819 0.861164176410819 0.8614 0.8612
