"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"125" "MinorityClass" -5.5032 0.207628487389125 0.4304 0.2076
"127" "PessimalClass" -5.3201 0.211088083205957 0 0.2111
"122" "RandomClass_B" -2.921 0.413507805339652 0.5217 0.4135
"29" "mlp_3" -2.8677 0.423400322047706 0.5174 0.4234
"123" "RandomClass_C" -2.8201 0.432260893798481 0.4957 0.4323
"121" "RandomClass_A" -2.794 0.437099764292089 0.513 0.4371
"32" "mlp_9" -2.4982 0.489529949210014 0.5435 0.4895
"31" "mlp_7" -2.1774 0.539581058515625 0.5435 0.5396
"28" "mlp_1" -2.0006 0.566835815875978 0.5696 0.5668
"30" "mlp_5" -2.0006 0.566835815875978 0.5696 0.5668
"41" "svmRadialCost_C0.01" -2.0006 0.566835815875978 0.5696 0.5668
"124" "MajorityClass" -2.0006 0.566835815875978 0.5696 0.5668
"51" "svmPoly_d_1_s_0.001" -1.6152 0.639063319980887 0.6783 0.6391
"114" "pls_ncomp1" -1.4753 0.668354644762205 0.6348 0.6684
"116" "simpls_ncomp1" -1.4753 0.668354644762205 0.6348 0.6684
"102" "knn_k1" -1.3671 0.690173197243284 0.687 0.6902
"103" "knn_k2" -1.264 0.70974221115805 0.7043 0.7097
"106" "knn_k7" -1.2036 0.720582607699472 0.713 0.7206
"39" "lvq_5" -1.1845 0.723904872395821 0.7261 0.7239
"37" "lvq_1" -1.1773 0.72513459149738 0.7087 0.7251
"104" "knn_k3" -1.1427 0.731006634701957 0.7304 0.731
"27" "rbf" -1.1331 0.73261471151305 0.7217 0.7326
"107" "knn_k9" -1.1213 0.734560126395075 0.7261 0.7346
"105" "knn_k5" -1.0602 0.744395890913801 0.7261 0.7444
"115" "pls_ncomp2" -0.8817 0.77072249482041 0.7522 0.7707
"117" "simpls_ncomp2" -0.8817 0.77072249482041 0.7522 0.7707
"38" "lvq_3" -0.8748 0.77169523725544 0.7348 0.7717
"35" "avNNet_decay0" -0.3697 0.861986445548526 0.8783 0.862
"120" "gcvEarth_d3" -0.1337 0.90166277758022 0.8652 0.9017
"109" "Ibk_k2" -0.1175 0.903698268093841 0.9174 0.9037
"18" "fda_prune2" -0.1144 0.904075887884069 0.8609 0.9041
"54" "svmPoly_d_2_s_0.001" -0.1024 0.905523352926171 0.9348 0.9055
"108" "Ibk_k1" -0.0936 0.906544022603487 0.9174 0.9065
"81" "rrf_mtry2" -0.065 0.909720833720587 0.8913 0.9097
"70" "bagFDA_prune2" -0.0529 0.910986116647623 0.8696 0.911
"13" "JRip_Unp" -0.0372 0.912566887275045 0.9174 0.9126
"11" "ctree_c0.99" 0.0174 0.917552412146757 0.8826 0.9176
"12" "JRip" 0.0174 0.917552412146757 0.8826 0.9176
"112" "Ibk_k7" 0.0542 0.920500560687861 0.9261 0.9205
"9" "ctree_c0.01" 0.1249 0.925407214576113 0.9087 0.9254
"10" "ctree_c0.05" 0.1249 0.925407214576113 0.9087 0.9254
"88" "cforest_mtry2" 0.167 0.927942231534378 0.9565 0.9279
"119" "gcvEarth_d2" 0.1803 0.928695554478609 0.913 0.9287
"111" "Ibk_k5" 0.2007 0.929803664457347 0.9261 0.9298
"110" "Ibk_k3" 0.2173 0.930677370892785 0.9304 0.9307
"113" "Ibk_k9" 0.2175 0.930684209494398 0.9217 0.9307
"8" "rpart" 0.3043 0.934820211108142 0.9217 0.9348
"93" "cforest_mtry64" 0.3114 0.935132824025414 0.9304 0.9351
"2" "c5.0_winnow" 0.3182 0.93542699097852 0.9217 0.9354
"14" "PART" 0.3332 0.93607014226699 0.9174 0.9361
"92" "cforest_mtry32" 0.3489 0.936729044644052 0.9348 0.9367
"71" "bagFDA_prune4" 0.3961 0.938619348796741 0.9217 0.9386
"73" "bagFDA_prune16" 0.4627 0.941098874375187 0.9217 0.9411
"90" "cforest_mtry8" 0.4754 0.941548610822387 0.9391 0.9415
"82" "rrf_mtry4" 0.4821 0.94178473420523 0.9261 0.9418
"57" "svmPoly_d_3_s_0.001" 0.486 0.941919611598093 0.9652 0.9419
"91" "cforest_mtry16" 0.4911 0.942094125590591 0.9391 0.9421
"118" "gcvEarth_d1" 0.4969 0.942294054350088 0.9348 0.9423
"1" "c5.0" 0.5117 0.942797911876081 0.9261 0.9428
"3" "J48" 0.5117 0.942797911876081 0.9261 0.9428
"4" "J48Unp" 0.5117 0.942797911876081 0.9261 0.9428
"94" "cforest_mtry128" 0.52 0.943076686635247 0.9435 0.9431
"77" "rf_mtry16" 0.5803 0.945017282335288 0.9217 0.945
"101" "parRF_mtry128" 0.5803 0.945017282335288 0.9217 0.945
"33" "avNNet_decay1e04" 0.6484 0.947051356109781 0.9696 0.9471
"85" "rrf_mtry32" 0.6662 0.947556649587401 0.9304 0.9476
"78" "rf_mtry32" 0.6793 0.947921191372904 0.9261 0.9479
"80" "rf_mtry128" 0.6793 0.947921191372904 0.9261 0.9479
"98" "parRF_mtry16" 0.6793 0.947921191372904 0.9261 0.9479
"100" "parRF_mtry64" 0.6793 0.947921191372904 0.9261 0.9479
"72" "bagFDA_prune8" 0.7379 0.949489030050017 0.9348 0.9495
"83" "rrf_mtry8" 0.7461 0.949699451200098 0.9391 0.9497
"87" "rrf_mtry128" 0.7588 0.950022770696342 0.9391 0.95
"79" "rf_mtry64" 0.7591 0.950030210288088 0.9304 0.95
"99" "parRF_mtry32" 0.7591 0.950030210288088 0.9304 0.95
"20" "fda_prune17" 0.7613 0.950084533621583 0.9435 0.9501
"86" "rrf_mtry64" 0.7683 0.950261570969291 0.9348 0.9503
"76" "rf_mtry8" 0.772 0.950354268160026 0.9348 0.9504
"84" "rrf_mtry16" 0.7812 0.950582374329987 0.9348 0.9506
"69" "treeBag" 0.8151 0.951401770280585 0.9391 0.9514
"97" "parRF_mtry8" 0.8719 0.952708229566058 0.9391 0.9527
"42" "svmRadialCost_C0.1" 0.916 0.953672871762061 0.9739 0.9537
"34" "avNNet_decay01" 1.1115 0.957496526832491 0.9696 0.9575
"22" "mda_subc3" 1.1546 0.958259733316904 0.9696 0.9583
"19" "fda_prune9" 1.1555 0.958275526443636 0.9565 0.9583
"64" "gbm_2_100" 1.1714 0.958550670718023 0.9609 0.9586
"59" "svmPoly_d_3_s_0.1" 1.1846 0.95877583921252 0.9565 0.9588
"15" "sda_L0.0" 1.2435 0.959757872623143 0.9739 0.9598
"21" "mda_subc2" 1.2435 0.959757872623143 0.9739 0.9598
"60" "gbm_1_50" 1.2637 0.960085034712743 0.9696 0.9601
"63" "gbm_2_50" 1.2955 0.960590826068529 0.9652 0.9606
"65" "gbm_2_150" 1.3042 0.960727102352365 0.9652 0.9607
"61" "gbm_1_100" 1.3095 0.960809727885599 0.9739 0.9608
"67" "gbm_3_100" 1.3106 0.960826620952769 0.9696 0.9608
"46" "svmLineart_C0.1" 1.3297 0.961121485469108 0.9739 0.9611
"56" "svmPoly_d_2_s_0.1" 1.3297 0.961121485469108 0.9739 0.9611
"75" "rf_mtry4" 1.3496 0.961424239428006 0.9652 0.9614
"68" "gbm_3_150" 1.3568 0.961533184093929 0.9696 0.9615
"89" "cforest_mtry4" 1.3618 0.961608238298375 0.9739 0.9616
"53" "svmPoly_d_1_s_0.1" 1.4934 0.963469797362692 0.9652 0.9635
"24" "W_NB" 1.5466 0.964157426929925 0.9696 0.9642
"23" "mda_subc4" 1.5708 0.964457001507123 0.9783 0.9645
"43" "svmRadialCost_C1" 1.5708 0.964457001507123 0.9783 0.9645
"44" "svmRadialCost_C2" 1.5708 0.964457001507123 0.9783 0.9645
"66" "gbm_3_50" 1.5928 0.964721763614094 0.9696 0.9647
"96" "parRF_mtry4" 1.6013 0.964822415845235 0.9696 0.9648
"48" "svmLinear_C2" 1.6126 0.964954581486955 0.9696 0.965
"5" "LMT" 1.648 0.965355306043951 0.9783 0.9654
"6" "LMT_CV" 1.648 0.965355306043951 0.9783 0.9654
"25" "NB" 1.6515 0.965394228591077 0.9652 0.9654
"26" "NB_laplace" 1.6515 0.965394228591077 0.9652 0.9654
"47" "svmLinear_C1" 1.6657 0.965549185527878 0.9739 0.9655
"36" "pcaNNet" 1.7092 0.966005007822712 0.9652 0.966
"49" "svmLinear_C4" 1.7173 0.966086120094139 0.9696 0.9661
"50" "svmLinear_C8" 1.779 0.966677061950124 0.9783 0.9667
"126" "OptimalClass" 1.8218 0.967054229696314 1 0.9671
"62" "gbm_1_150" 1.8273 0.96710094810132 0.9783 0.9671
"45" "svmLinear_C0.01" 1.8948 0.967640721906852 0.987 0.9676
"52" "svmPoly_d_1_s_0.01" 1.8948 0.967640721906852 0.987 0.9676
"74" "rf_mtry2" 1.8948 0.967640712605442 0.9826 0.9676
"95" "parRF_mtry2" 1.8948 0.967640712605442 0.9826 0.9676
"7" "LMT_AIC" 1.8967 0.967654446768593 0.9783 0.9677
"16" "sda_L0.5" 1.9171 0.967805774060468 0.9826 0.9678
