"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"127" "PessimalClass" -4.1055 0.193948944139695 0 0.1939
"125" "MinorityClass" -3.6407 0.203105658641645 0.3467 0.2031
"122" "RandomClass_B" -1.5933 0.527203035984348 0.5356 0.5272
"123" "RandomClass_C" -1.5569 0.540654347718178 0.5728 0.5407
"121" "RandomClass_A" -1.5416 0.546332852967565 0.5542 0.5463
"41" "svmRadialCost_C0.01" -1.0984 0.702923184683443 0.6533 0.7029
"124" "MajorityClass" -1.0984 0.702923184683443 0.6533 0.7029
"51" "svmPoly_d_1_s_0.001" -0.8725 0.770193880458482 0.7121 0.7702
"18" "fda_prune2" -0.6417 0.823578574389493 0.8297 0.8236
"70" "bagFDA_prune2" -0.6129 0.829167308679106 0.8297 0.8292
"24" "W_NB" -0.5964 0.832251304464304 0.8669 0.8323
"88" "cforest_mtry2" -0.3265 0.871854936328 0.8514 0.8719
"36" "pcaNNet" -0.3247 0.872054941684711 0.87 0.8721
"17" "sda_L1.0" -0.2164 0.883110733860905 0.8545 0.8831
"54" "svmPoly_d_2_s_0.001" -0.2127 0.883464562040789 0.8545 0.8835
"107" "knn_k9" -0.1631 0.888088701592615 0.8607 0.8881
"15" "sda_L0.0" -0.1615 0.888239513197316 0.8885 0.8882
"106" "knn_k7" -0.112 0.892838113532484 0.8669 0.8928
"105" "knn_k5" -0.0971 0.89425003649489 0.87 0.8943
"113" "Ibk_k9" -0.073 0.896582338523206 0.8793 0.8966
"104" "knn_k3" -0.0709 0.896785887835143 0.8885 0.8968
"39" "lvq_5" -0.0678 0.897088629903518 0.8916 0.8971
"57" "svmPoly_d_3_s_0.001" -0.0674 0.897136597343319 0.8854 0.8971
"112" "Ibk_k7" -0.0633 0.897536902696013 0.8824 0.8975
"114" "pls_ncomp1" -0.0618 0.897690042938848 0.8731 0.8977
"116" "simpls_ncomp1" -0.0618 0.897690042938848 0.8731 0.8977
"47" "svmLinear_C1" -0.0519 0.898681298575391 0.904 0.8987
"110" "Ibk_k3" -0.0383 0.900069730891746 0.8947 0.9001
"38" "lvq_3" -0.0382 0.900079996835168 0.9009 0.9001
"111" "Ibk_k5" -0.0347 0.900439367314251 0.8885 0.9004
"28" "mlp_1" -0.0308 0.900848286583909 0.8947 0.9008
"37" "lvq_1" -0.0236 0.901600405672332 0.8854 0.9016
"50" "svmLinear_C8" -0.0234 0.901615784822611 0.8978 0.9016
"103" "knn_k2" -0.0204 0.901932610401586 0.8947 0.9019
"49" "svmLinear_C4" -0.0065 0.903414436729991 0.8978 0.9034
"48" "svmLinear_C2" 0.0284 0.907233240855712 0.9009 0.9072
"32" "mlp_9" 0.0351 0.907976910033317 0.9195 0.908
"59" "svmPoly_d_3_s_0.1" 0.0477 0.909381227798422 0.9195 0.9094
"115" "pls_ncomp2" 0.0486 0.909483444952239 0.9102 0.9095
"117" "simpls_ncomp2" 0.0486 0.909483444952239 0.9102 0.9095
"102" "knn_k1" 0.0617 0.910939946273305 0.9102 0.9109
"40" "SMV" 0.0634 0.911128028325963 0.904 0.9111
"16" "sda_L0.5" 0.0664 0.911454507343951 0.9102 0.9115
"108" "Ibk_k1" 0.0679 0.911617755178016 0.9133 0.9116
"45" "svmLinear_C0.01" 0.0764 0.912560304086419 0.9133 0.9126
"52" "svmPoly_d_1_s_0.01" 0.0764 0.912560304086419 0.9133 0.9126
"89" "cforest_mtry4" 0.08 0.912943203218284 0.9102 0.9129
"46" "svmLineart_C0.1" 0.0858 0.91358250477806 0.9009 0.9136
"56" "svmPoly_d_2_s_0.1" 0.0858 0.91358250477806 0.9009 0.9136
"30" "mlp_5" 0.1055 0.915678918142802 0.9164 0.9157
"31" "mlp_7" 0.118 0.91697118301731 0.9133 0.917
"29" "mlp_3" 0.1251 0.917692664289023 0.9195 0.9177
"23" "mda_subc4" 0.1274 0.917918695001361 0.9226 0.9179
"34" "avNNet_decay01" 0.1344 0.918622141782099 0.9288 0.9186
"21" "mda_subc2" 0.1845 0.923295061971007 0.9195 0.9233
"109" "Ibk_k2" 0.1898 0.923760386291136 0.9412 0.9238
"33" "avNNet_decay1e04" 0.1967 0.924357264354385 0.9288 0.9244
"35" "avNNet_decay0" 0.2016 0.924778779505991 0.9443 0.9248
"19" "fda_prune9" 0.2321 0.927295830215298 0.9319 0.9273
"22" "mda_subc3" 0.236 0.927604597155923 0.9257 0.9276
"55" "svmPoly_d_2_s_0.01" 0.2479 0.928545089758567 0.9319 0.9285
"58" "svmPoly_d_3_s_0.01" 0.3813 0.938278516339415 0.9412 0.9383
"53" "svmPoly_d_1_s_0.1" 0.3936 0.939133772894002 0.9443 0.9391
"118" "gcvEarth_d1" 0.5116 0.947250617413696 0.9505 0.9473
"27" "rbf" 0.5576 0.950335944987478 0.9567 0.9503
"90" "cforest_mtry8" 0.5814 0.951878805316216 0.9412 0.9519
"119" "gcvEarth_d2" 0.5867 0.952212219276162 0.9628 0.9522
"120" "gcvEarth_d3" 0.6047 0.953342012608888 0.9536 0.9533
"3" "J48" 0.6058 0.953406580374232 0.9598 0.9534
"4" "J48Unp" 0.6058 0.953406580374232 0.9598 0.9534
"25" "NB" 0.609 0.953603259025885 0.9474 0.9536
"26" "NB_laplace" 0.609 0.953603259025885 0.9474 0.9536
"20" "fda_prune17" 0.6482 0.955911384613665 0.9567 0.9559
"1" "c5.0" 0.6591 0.956518944782518 0.9443 0.9565
"42" "svmRadialCost_C0.1" 0.6742 0.957332650547901 0.9783 0.9573
"7" "LMT_AIC" 0.6788 0.957571114433373 0.9598 0.9576
"94" "cforest_mtry128" 0.7024 0.958761939398313 0.9443 0.9588
"82" "rrf_mtry4" 0.7065 0.958958048359676 0.969 0.959
"92" "cforest_mtry32" 0.7097 0.959110670143925 0.9474 0.9591
"91" "cforest_mtry16" 0.7269 0.959908311024597 0.9505 0.9599
"2" "c5.0_winnow" 0.7309 0.960088727090962 0.9536 0.9601
"43" "svmRadialCost_C1" 0.7451 0.960705014067021 0.9814 0.9607
"14" "PART" 0.7453 0.960716948958015 0.9505 0.9607
"74" "rf_mtry2" 0.7456 0.960725792208925 0.9845 0.9607
"93" "cforest_mtry64" 0.7654 0.961541251721872 0.9536 0.9615
"5" "LMT" 0.77 0.96172600938488 0.9598 0.9617
"13" "JRip_Unp" 0.7895 0.962464492293679 0.9505 0.9625
"9" "ctree_c0.01" 0.7906 0.962507006186602 0.9567 0.9625
"10" "ctree_c0.05" 0.7906 0.962507006186602 0.9567 0.9625
"11" "ctree_c0.99" 0.7906 0.962507006186602 0.9567 0.9625
"12" "JRip" 0.7906 0.962507006186602 0.9567 0.9625
"6" "LMT_CV" 0.796 0.962703902699254 0.9628 0.9627
"60" "gbm_1_50" 0.8115 0.963247386691261 0.9814 0.9632
"73" "bagFDA_prune16" 0.8966 0.965788612431719 0.9814 0.9658
"71" "bagFDA_prune4" 0.9311 0.966635526741428 0.969 0.9666
"83" "rrf_mtry8" 0.9332 0.96668425355237 0.9659 0.9667
"8" "rpart" 0.9533 0.967136212135156 0.9567 0.9671
"75" "rf_mtry4" 0.9992 0.96806606035761 0.9876 0.9681
"96" "parRF_mtry4" 0.9992 0.96806606035761 0.9876 0.9681
"97" "parRF_mtry8" 1.0967 0.969676573192097 0.9876 0.9697
"72" "bagFDA_prune8" 1.1326 0.970169949493497 0.9814 0.9702
"65" "gbm_2_150" 1.141 0.970278218967026 0.9876 0.9703
"44" "svmRadialCost_C2" 1.1506 0.970400192042079 0.9876 0.9704
"95" "parRF_mtry2" 1.1606 0.970524244574316 0.9907 0.9705
"81" "rrf_mtry2" 1.1804 0.970761720346073 0.9659 0.9708
"63" "gbm_2_50" 1.2352 0.971365812754643 0.9845 0.9714
"69" "treeBag" 1.2742 0.971755911791942 0.9721 0.9718
"85" "rrf_mtry32" 1.3406 0.972359919052097 0.9721 0.9724
"67" "gbm_3_100" 1.3526 0.972462182227736 0.9938 0.9725
"61" "gbm_1_100" 1.3527 0.97246268559065 0.9907 0.9725
"62" "gbm_1_150" 1.3527 0.972462664063056 0.9907 0.9725
"86" "rrf_mtry64" 1.4254 0.97304172330079 0.9628 0.973
"87" "rrf_mtry128" 1.4254 0.97304172330079 0.9628 0.973
"101" "parRF_mtry128" 1.4339 0.973105374818636 0.9783 0.9731
"64" "gbm_2_100" 1.5587 0.973946692270653 0.9907 0.9739
"66" "gbm_3_50" 1.5948 0.974158934451946 0.9907 0.9742
"68" "gbm_3_150" 1.6297 0.974351739797765 0.9907 0.9744
"126" "OptimalClass" 1.688 0.974646907357691 1 0.9746
"76" "rf_mtry8" 1.6882 0.974647870336291 0.9907 0.9746
"77" "rf_mtry16" 1.9086 0.975490208571696 0.9876 0.9755
"98" "parRF_mtry16" 1.9086 0.975490208571696 0.9876 0.9755
"79" "rf_mtry64" 1.9703 0.975663071854539 0.9783 0.9757
"84" "rrf_mtry16" 2.042 0.975838533426371 0.9845 0.9758
"78" "rf_mtry32" 2.3497 0.976391377948205 0.9814 0.9764
"80" "rf_mtry128" 2.3497 0.976391377948205 0.9814 0.9764
"99" "parRF_mtry32" 2.3497 0.976391377948205 0.9814 0.9764
"100" "parRF_mtry64" 2.3497 0.976391377948205 0.9814 0.9764
