"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"125" "MinorityClass" -4.8164 0.230377765722847 0.359 0.2304
"127" "PessimalClass" -4.0058 0.244729879198028 0 0.2447
"122" "RandomClass_B" -2.1173 0.484483130708584 0.5271 0.4845
"121" "RandomClass_A" -1.9849 0.519143162133136 0.5271 0.5191
"123" "RandomClass_C" -1.9507 0.528147835724211 0.5043 0.5281
"41" "svmRadialCost_C0.01" -1.2428 0.686959248984256 0.641 0.687
"124" "MajorityClass" -1.2428 0.686959248984256 0.641 0.687
"51" "svmPoly_d_1_s_0.001" -0.8865 0.75061924177449 0.698 0.7506
"18" "fda_prune2" -0.7011 0.777494726194154 0.7835 0.7775
"24" "W_NB" -0.6492 0.783932439822997 0.8205 0.7839
"70" "bagFDA_prune2" -0.5077 0.799156892974472 0.8063 0.7992
"88" "cforest_mtry2" -0.4419 0.80522465845937 0.7949 0.8052
"120" "gcvEarth_d3" -0.3655 0.811604314090805 0.8632 0.8116
"107" "knn_k9" -0.1199 0.828973142956178 0.8234 0.829
"113" "Ibk_k9" -0.0531 0.833375271377415 0.8376 0.8334
"104" "knn_k3" -0.0495 0.833610935553521 0.8262 0.8336
"112" "Ibk_k7" -0.024 0.835309597242146 0.8376 0.8353
"54" "svmPoly_d_2_s_0.001" -0.0129 0.836050914752869 0.8234 0.8361
"106" "knn_k7" -0.0093 0.836291591385177 0.8291 0.8363
"108" "Ibk_k1" -0.0044 0.836616720849169 0.8519 0.8366
"105" "knn_k5" 0.0392 0.83957517041025 0.849 0.8396
"102" "knn_k1" 0.0702 0.841712059585129 0.849 0.8417
"37" "lvq_1" 0.0763 0.842133753721892 0.8519 0.8421
"110" "Ibk_k3" 0.0905 0.843124346730833 0.849 0.8431
"111" "Ibk_k5" 0.1144 0.844799801433002 0.8519 0.8448
"103" "knn_k2" 0.1266 0.845663697437046 0.8547 0.8457
"38" "lvq_3" 0.1687 0.848664426307578 0.8519 0.8487
"39" "lvq_5" 0.1983 0.850784895860962 0.8575 0.8508
"17" "sda_L1.0" 0.2199 0.852328408655135 0.8262 0.8523
"57" "svmPoly_d_3_s_0.001" 0.2237 0.85260025438351 0.849 0.8526
"109" "Ibk_k2" 0.3015 0.85806120806232 0.8889 0.8581
"114" "pls_ncomp1" 0.3791 0.86316392980751 0.8519 0.8632
"116" "simpls_ncomp1" 0.3791 0.86316392980751 0.8519 0.8632
"89" "cforest_mtry4" 0.4013 0.864548523809058 0.8661 0.8645
"115" "pls_ncomp2" 0.4234 0.865894726373038 0.8775 0.8659
"117" "simpls_ncomp2" 0.4234 0.865894726373038 0.8775 0.8659
"15" "sda_L0.0" 0.5001 0.870367162611315 0.8604 0.8704
"23" "mda_subc4" 0.5111 0.870983115139805 0.8746 0.871
"21" "mda_subc2" 0.5266 0.871844380531992 0.8803 0.8718
"22" "mda_subc3" 0.5882 0.875150750861738 0.8803 0.8752
"45" "svmLinear_C0.01" 0.5993 0.875725639878936 0.8803 0.8757
"52" "svmPoly_d_1_s_0.01" 0.5993 0.875725639878936 0.8803 0.8757
"49" "svmLinear_C4" 0.6151 0.876534211517352 0.8775 0.8765
"8" "rpart" 0.6302 0.877300390420861 0.8718 0.8773
"16" "sda_L0.5" 0.6399 0.877783073595957 0.886 0.8778
"47" "svmLinear_C1" 0.6512 0.87834293560034 0.8746 0.8783
"59" "svmPoly_d_3_s_0.1" 0.6583 0.878692306311667 0.9145 0.8787
"28" "mlp_1" 0.6622 0.878886076881418 0.8718 0.8789
"48" "svmLinear_C2" 0.6636 0.878955680700608 0.8775 0.879
"46" "svmLineart_C0.1" 0.6655 0.879047425261131 0.8746 0.879
"56" "svmPoly_d_2_s_0.1" 0.6655 0.879047425261131 0.8746 0.879
"40" "SMV" 0.6735 0.879436143021844 0.8775 0.8794
"58" "svmPoly_d_3_s_0.01" 0.725 0.881889292407577 0.8974 0.8819
"32" "mlp_9" 0.7667 0.883834657930152 0.8974 0.8838
"55" "svmPoly_d_2_s_0.01" 0.7832 0.884592961670348 0.9003 0.8846
"33" "avNNet_decay1e04" 0.7899 0.884905462645201 0.8946 0.8849
"50" "svmLinear_C8" 0.7944 0.885109123611864 0.8775 0.8851
"30" "mlp_5" 0.7997 0.885354370216905 0.9003 0.8854
"34" "avNNet_decay01" 0.8228 0.886416417445564 0.9003 0.8864
"36" "pcaNNet" 0.8476 0.887555558136279 0.8974 0.8876
"31" "mlp_7" 0.8695 0.888564886987316 0.8917 0.8886
"6" "LMT_CV" 0.8795 0.889028334809205 0.9031 0.889
"19" "fda_prune9" 0.8942 0.889712264902614 0.8832 0.8897
"29" "mlp_3" 0.9059 0.890255666794327 0.9117 0.8903
"35" "avNNet_decay0" 0.9536 0.892493009310148 0.9088 0.8925
