"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"127" "PessimalClass" -4.6516 0.162943968743087 0 0.1629
"125" "MinorityClass" -4.3959 0.172286118841005 0.039 0.1723
"122" "RandomClass_B" -2.758 0.377471547994197 0.4882 0.3775
"123" "RandomClass_C" -2.7548 0.382243465489809 0.5039 0.3822
"121" "RandomClass_A" -2.737 0.408343249709461 0.5118 0.4083
"18" "fda_prune2" -1.3862 0.574563276553467 0.5669 0.5746
"41" "svmRadialCost_C0.01" -1.3833 0.574801849764141 0.5591 0.5748
"51" "svmPoly_d_1_s_0.001" -1.3833 0.574801849764141 0.5591 0.5748
"54" "svmPoly_d_2_s_0.001" -1.3833 0.574801849764141 0.5591 0.5748
"124" "MajorityClass" -1.3833 0.574801849764141 0.5591 0.5748
"70" "bagFDA_prune2" -1.3407 0.582992551570227 0.6142 0.583
"42" "svmRadialCost_C0.1" -1.2102 0.599654018118048 0.622 0.5997
"57" "svmPoly_d_3_s_0.001" -0.8459 0.696094687999544 0.7087 0.6961
"25" "NB" -0.6763 0.755573101476359 0.7795 0.7556
"26" "NB_laplace" -0.6763 0.755573101476359 0.7795 0.7556
"109" "Ibk_k2" -0.3412 0.801444613697633 0.8031 0.8014
"108" "Ibk_k1" -0.0478 0.821912884012131 0.8346 0.8219
"39" "lvq_5" -0.0052 0.841630911205611 0.8504 0.8416
"8" "rpart" -0.0033 0.846228994578143 0.8031 0.8462
"71" "bagFDA_prune4" -0.003 0.846940872061759 0.8504 0.8469
"88" "cforest_mtry2" -0.0027 0.84777171296636 0.8583 0.8478
"38" "lvq_3" -0.0026 0.848124603535204 0.8189 0.8481
"92" "cforest_mtry32" -0.0025 0.848263819794358 0.8425 0.8483
"93" "cforest_mtry64" -0.0025 0.848263819794358 0.8425 0.8483
"94" "cforest_mtry128" -0.0025 0.848263819794358 0.8425 0.8483
"17" "sda_L1.0" -0.0012 0.851915936782938 0.9055 0.8519
"24" "W_NB" -0.0012 0.85182637615 0.8898 0.8518
"45" "svmLinear_C0.01" -0.0011 0.852050192988954 0.8976 0.8521
"52" "svmPoly_d_1_s_0.01" -0.0011 0.852050192988954 0.8976 0.8521
"11" "ctree_c0.99" -0.001 0.852560155171707 0.7717 0.8526
"12" "JRip" -0.001 0.852560155171707 0.7717 0.8526
"89" "cforest_mtry4" -0.0008 0.853051845051328 0.8583 0.8531
"91" "cforest_mtry16" -0.0008 0.853056821433239 0.8504 0.8531
"103" "knn_k2" -0.0001 0.854865211829464 0.8898 0.8549
"104" "knn_k3" -0.0001 0.854759558756954 0.8976 0.8548
"105" "knn_k5" -0.0001 0.854719654118404 0.874 0.8547
"113" "Ibk_k9" 0.0002 0.855677732332836 0.8504 0.8557
"112" "Ibk_k7" 0.0003 0.855805155988132 0.8661 0.8558
"111" "Ibk_k5" 0.0004 0.855949423058387 0.8819 0.8559
"106" "knn_k7" 0.0008 0.857122529306459 0.874 0.8571
"114" "pls_ncomp1" 0.0009 0.857146456280144 0.8819 0.8571
"116" "simpls_ncomp1" 0.0009 0.857146456280144 0.8819 0.8571
"2" "c5.0_winnow" 0.0014 0.858284952191472 0.7874 0.8583
"9" "ctree_c0.01" 0.0014 0.858481592391391 0.8031 0.8585
"10" "ctree_c0.05" 0.0014 0.858481592391391 0.8031 0.8585
"23" "mda_subc4" 0.0014 0.858416117833886 0.8898 0.8584
"102" "knn_k1" 0.0023 0.86032046407902 0.874 0.8603
"22" "mda_subc3" 0.0024 0.86035851680749 0.8976 0.8604
"110" "Ibk_k3" 0.0024 0.860435455773387 0.8976 0.8604
"37" "lvq_1" 0.005 0.86434726274168 0.8898 0.8643
"72" "bagFDA_prune8" 0.0204 0.870362203915008 0.8031 0.8704
"119" "gcvEarth_d2" 0.0208 0.870405970460309 0.8504 0.8704
"120" "gcvEarth_d3" 0.0329 0.871499375127008 0.8819 0.8715
"14" "PART" 0.1326 0.877384631614889 0.8976 0.8774
"107" "knn_k9" 0.1361 0.877573262464247 0.8898 0.8776
"83" "rrf_mtry8" 0.3319 0.88715216537946 0.8976 0.8872
"86" "rrf_mtry64" 0.3319 0.88715216537946 0.8976 0.8872
"65" "gbm_2_150" 0.49 0.893287167199648 0.9134 0.8933
