"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"127" "PessimalClass" -2.8191 0.282357328987508 0 0.2824
"125" "MinorityClass" -2.215 0.394959702421066 0.4444 0.395
"121" "RandomClass_A" -2.1042 0.44811064720839 0.4889 0.4481
"123" "RandomClass_C" -2.0569 0.473131188465667 0.4815 0.4731
"122" "RandomClass_B" -2.0436 0.480213551330059 0.4963 0.4802
"41" "svmRadialCost_C0.01" -1.893 0.555913190229968 0.5556 0.5559
"124" "MajorityClass" -1.893 0.555913190229968 0.5556 0.5559
"51" "svmPoly_d_1_s_0.001" -1.638 0.632516188982796 0.6148 0.6325
"11" "ctree_c0.99" -0.7797 0.748489694188155 0.7704 0.7485
"12" "JRip" -0.7797 0.748489694188155 0.7704 0.7485
"18" "fda_prune2" -0.7414 0.754890061883923 0.7556 0.7549
"70" "bagFDA_prune2" -0.7345 0.756126660915901 0.7667 0.7561
"109" "Ibk_k2" -0.7252 0.757820509455813 0.7889 0.7578
"108" "Ibk_k1" -0.658 0.769864687632505 0.7519 0.7699
"102" "knn_k1" -0.648 0.771317555188011 0.7704 0.7713
"14" "PART" -0.6378 0.772694783279139 0.8 0.7727
"1" "c5.0" -0.6192 0.774877695134356 0.7704 0.7749
"103" "knn_k2" -0.6131 0.775506864204652 0.7519 0.7755
"59" "svmPoly_d_3_s_0.1" -0.5037 0.783265568676421 0.7889 0.7833
"120" "gcvEarth_d3" -0.4806 0.784525533547484 0.8037 0.7845
"119" "gcvEarth_d2" -0.4761 0.78476861170601 0.8185 0.7848
"53" "svmPoly_d_1_s_0.1" -0.0811 0.805056436794139 0.8259 0.8051
"27" "rbf" -0.0711 0.805885811057021 0.7852 0.8059
"3" "J48" -0.0685 0.806115949308527 0.7852 0.8061
"4" "J48Unp" -0.0685 0.806115949308527 0.7852 0.8061
"110" "Ibk_k3" -0.061 0.80678196752685 0.7852 0.8068
"111" "Ibk_k5" -0.0554 0.807304853727194 0.8074 0.8073
"112" "Ibk_k7" -0.0497 0.807853510706202 0.8148 0.8079
"87" "rrf_mtry128" -0.0437 0.808441390407881 0.7889 0.8084
"85" "rrf_mtry32" -0.0375 0.809060239168033 0.8037 0.8091
"82" "rrf_mtry4" -0.0358 0.809230647965406 0.7852 0.8092
"9" "ctree_c0.01" -0.0353 0.809288593517191 0.8111 0.8093
"10" "ctree_c0.05" -0.0353 0.809288593517191 0.8111 0.8093
"8" "rpart" -0.0216 0.81068027345405 0.8148 0.8107
"104" "knn_k3" -0.0121 0.811647948747498 0.8 0.8116
"38" "lvq_3" -0.0117 0.811685491240412 0.8296 0.8117
"113" "Ibk_k9" -0.0104 0.811819769379828 0.8296 0.8118
"13" "JRip_Unp" 0.0003 0.812869456728214 0.8111 0.8129
"126" "OptimalClass" 0.0061 0.813415089358936 1 0.8134
"23" "mda_subc4" 0.0081 0.813597986571829 0.8111 0.8136
"69" "treeBag" 0.0116 0.813917178660127 0.8148 0.8139
"37" "lvq_1" 0.0123 0.813980387919259 0.8074 0.814
"84" "rrf_mtry16" 0.0157 0.814281061846598 0.7852 0.8143
"30" "mlp_5" 0.0173 0.81441985801946 0.8259 0.8144
"86" "rrf_mtry64" 0.0257 0.815122644193651 0.7963 0.8151
"29" "mlp_3" 0.0298 0.815441371378701 0.8037 0.8154
"54" "svmPoly_d_2_s_0.001" 0.0325 0.815650232163098 0.8111 0.8157
"2" "c5.0_winnow" 0.0518 0.816950429196496 0.8074 0.817
"31" "mlp_7" 0.0563 0.817218523827312 0.8185 0.8172
"81" "rrf_mtry2" 0.0838 0.818558875389355 0.7963 0.8186
"68" "gbm_3_150" 0.1147 0.819672908940618 0.8185 0.8197
"39" "lvq_5" 0.1226 0.819914814798321 0.8074 0.8199
