"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"125" "MinorityClass" -4.2107 0.20872931925464 0.2462 0.2087
"127" "PessimalClass" -3.0256 0.222425283183332 0 0.2224
"122" "RandomClass_B" -1.3839 0.649401435734713 0.6103 0.6494
"24" "W_NB" -1.3819 0.650302603153981 0.6923 0.6503
"25" "NB" -1.3819 0.650302603153981 0.6923 0.6503
"26" "NB_laplace" -1.3819 0.650302603153981 0.6923 0.6503
"121" "RandomClass_A" -1.3787 0.651741880521937 0.6103 0.6517
"123" "RandomClass_C" -1.3677 0.656605953858255 0.6 0.6566
"17" "sda_L1.0" -1.2564 0.700457550847621 0.7538 0.7005
"118" "gcvEarth_d1" -0.7873 0.793915791488181 0.8462 0.7939
"41" "svmRadialCost_C0.01" -0.6482 0.809503010219055 0.7538 0.8095
"42" "svmRadialCost_C0.1" -0.6482 0.809503010219055 0.7538 0.8095
"51" "svmPoly_d_1_s_0.001" -0.6482 0.809503010219055 0.7538 0.8095
"54" "svmPoly_d_2_s_0.001" -0.6482 0.809503010219055 0.7538 0.8095
"57" "svmPoly_d_3_s_0.001" -0.6482 0.809503010219055 0.7538 0.8095
"124" "MajorityClass" -0.6482 0.809503010219055 0.7538 0.8095
"35" "avNNet_decay0" -0.5867 0.816876276792049 0.8205 0.8169
"120" "gcvEarth_d3" -0.5107 0.827101274476105 0.8769 0.8271
"36" "pcaNNet" -0.5092 0.827309897893814 0.8103 0.8273
"85" "rrf_mtry32" -0.4668 0.833498824030039 0.7641 0.8335
"13" "JRip_Unp" -0.4253 0.839614385018064 0.8718 0.8396
"8" "rpart" -0.4222 0.840061561669281 0.841 0.8401
"86" "rrf_mtry64" -0.4156 0.841010864626641 0.7949 0.841
"87" "rrf_mtry128" -0.3794 0.846085362014216 0.8051 0.8461
"84" "rrf_mtry16" -0.3697 0.847383360768828 0.8051 0.8474
"14" "PART" -0.3436 0.850739555956835 0.8718 0.8507
"1" "c5.0" -0.3416 0.850988323096939 0.8359 0.851
"28" "mlp_1" -0.3126 0.854457574459402 0.8256 0.8545
"20" "fda_prune17" -0.2843 0.857579551574742 0.8821 0.8576
"103" "knn_k2" -0.2354 0.862395266852476 0.9179 0.8624
"114" "pls_ncomp1" -0.2248 0.863348233300299 0.8205 0.8633
"116" "simpls_ncomp1" -0.2248 0.863348233300299 0.8205 0.8633
"109" "Ibk_k2" -0.2195 0.863813794628109 0.9282 0.8638
"3" "J48" -0.2021 0.865287079950993 0.8667 0.8653
"4" "J48Unp" -0.2021 0.865287079950993 0.8667 0.8653
"119" "gcvEarth_d2" -0.1847 0.866686077805482 0.8718 0.8667
"2" "c5.0_winnow" -0.1846 0.866694272876066 0.8667 0.8667
"104" "knn_k3" -0.1609 0.868485798536619 0.9077 0.8685
"59" "svmPoly_d_3_s_0.1" -0.1475 0.86944211644306 0.9179 0.8694
"6" "LMT_CV" -0.1331 0.870419471289362 0.8513 0.8704
"22" "mda_subc3" -0.1042 0.872269087821857 0.9077 0.8723
"113" "Ibk_k9" -0.0964 0.872734664103375 0.9077 0.8727
"107" "knn_k9" -0.0932 0.872926621703423 0.9026 0.8729
"110" "Ibk_k3" -0.0879 0.873236692105668 0.9282 0.8732
"23" "mda_subc4" -0.0812 0.873618210047561 0.8974 0.8736
"39" "lvq_5" -0.0794 0.873721194247377 0.9128 0.8737
"102" "knn_k1" -0.0755 0.873938917529948 0.9538 0.8739
"38" "lvq_3" -0.0701 0.874232961676444 0.9231 0.8742
"108" "Ibk_k1" -0.0603 0.874760488643188 0.9641 0.8748
"7" "LMT_AIC" -0.0472 0.875440463818156 0.8718 0.8754
"29" "mlp_3" -0.0455 0.875524659788844 0.8564 0.8755
"19" "fda_prune9" -0.039 0.875845508141317 0.8872 0.8758
"83" "rrf_mtry8" -0.0372 0.875933776409319 0.8462 0.8759
"112" "Ibk_k7" -0.0295 0.876304638545415 0.9179 0.8763
"5" "LMT" -0.0233 0.876597337377631 0.8615 0.8766
"15" "sda_L0.0" -0.013 0.877069103452131 0.8564 0.8771
"21" "mda_subc2" -0.0092 0.877237207355375 0.8821 0.8772
"16" "sda_L0.5" -0.0011 0.877587277580639 0.8308 0.8776
"105" "knn_k5" 0.0037 0.8777952375986 0.9282 0.8778
"111" "Ibk_k5" 0.0072 0.877939074048536 0.9333 0.8779
"9" "ctree_c0.01" 0.0217 0.878525717001888 0.8769 0.8785
"10" "ctree_c0.05" 0.0217 0.878525717001888 0.8769 0.8785
"82" "rrf_mtry4" 0.0839 0.880702160816759 0.8564 0.8807
"31" "mlp_7" 0.0856 0.880754786759127 0.9026 0.8808
"37" "lvq_1" 0.0925 0.880961648746673 0.9282 0.881
"126" "OptimalClass" 0.1323 0.882054318942465 1 0.8821
"106" "knn_k7" 0.1724 0.882989654343561 0.9282 0.883
"32" "mlp_9" 0.1872 0.883298644107374 0.9179 0.8833
"30" "mlp_5" 0.1876 0.883305698288025 0.9077 0.8833
"18" "fda_prune2" 0.1937 0.883428190850644 0.8308 0.8834
"34" "avNNet_decay01" 0.2301 0.884099109197663 0.9026 0.8841
"50" "svmLinear_C8" 0.2791 0.884870281175578 0.8564 0.8849
"27" "rbf" 0.2835 0.884934091310387 0.9487 0.8849
"33" "avNNet_decay1e04" 0.3171 0.885385275481292 0.9231 0.8854
"48" "svmLinear_C2" 0.393 0.88624818611178 0.8513 0.8862
"73" "bagFDA_prune16" 0.4006 0.886325289845266 0.9385 0.8863
"115" "pls_ncomp2" 0.4133 0.886449502029587 0.841 0.8864
"117" "simpls_ncomp2" 0.4133 0.886449502029587 0.841 0.8864
"49" "svmLinear_C4" 0.4616 0.886889013800307 0.8615 0.8869
"88" "cforest_mtry2" 0.5778 0.887787422629237 0.8513 0.8878
"45" "svmLinear_C0.01" 0.617 0.888059657079261 0.8615 0.8881
"52" "svmPoly_d_1_s_0.01" 0.617 0.888059657079261 0.8615 0.8881
"60" "gbm_1_50" 0.6253 0.888116767383893 0.8513 0.8881
"74" "rf_mtry2" 0.716 0.888740143122467 0.9077 0.8887
"95" "parRF_mtry2" 0.7185 0.888757722993518 0.9077 0.8888
"81" "rrf_mtry2" 0.7479 0.888971699982344 0.8769 0.889
"89" "cforest_mtry4" 0.7542 0.889018688278201 0.8564 0.889
"58" "svmPoly_d_3_s_0.01" 0.7691 0.88913286721604 0.8821 0.8891
"40" "SMV" 0.7693 0.889134658642274 0.8718 0.8891
"55" "svmPoly_d_2_s_0.01" 0.7693 0.889134658642274 0.8718 0.8891
"11" "ctree_c0.99" 0.7964 0.889352657418426 0.8513 0.8894
"12" "JRip" 0.7964 0.889352657418426 0.8513 0.8894
"90" "cforest_mtry8" 0.8288 0.889633244722983 0.8564 0.8896
"70" "bagFDA_prune2" 0.9131 0.890490453944409 0.8513 0.8905
"47" "svmLinear_C1" 1.0123 0.891704443170971 0.8564 0.8917
"43" "svmRadialCost_C1" 1.0424 0.892090542768754 0.8821 0.8921
"94" "cforest_mtry128" 1.0725 0.892473066508988 0.8564 0.8925
"46" "svmLineart_C0.1" 1.135 0.893250537792579 0.8718 0.8933
"56" "svmPoly_d_2_s_0.1" 1.135 0.893250537792579 0.8718 0.8933
"96" "parRF_mtry4" 1.1783 0.893774728056006 0.9231 0.8938
"44" "svmRadialCost_C2" 1.2229 0.894312227281774 0.8923 0.8943
"53" "svmPoly_d_1_s_0.1" 1.2229 0.894312227281774 0.8923 0.8943
"75" "rf_mtry4" 1.2511 0.894652213559962 0.9128 0.8947
"91" "cforest_mtry16" 1.3274 0.895577096017422 0.8615 0.8956
"92" "cforest_mtry32" 1.3274 0.895577096017422 0.8615 0.8956
"93" "cforest_mtry64" 1.3274 0.895577096017422 0.8615 0.8956
"65" "gbm_2_150" 1.3736 0.896125825508887 0.9179 0.8961
