"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"125" "MinorityClass" -2.9232 0.0843948340979206 0.0968 0.0844
"127" "PessimalClass" -2.5158 0.0894202093277937 0 0.0894
"25" "NB" -0.741 0.589647438813957 0.621 0.5896
"26" "NB_laplace" -0.741 0.589647438813957 0.621 0.5896
"72" "bagFDA_prune8" -0.5611 0.749145770814492 0.75 0.7491
"121" "RandomClass_A" -0.2307 0.868896583108021 0.8065 0.8689
"122" "RandomClass_B" -0.1572 0.884169786628125 0.8387 0.8842
"123" "RandomClass_C" -0.1095 0.89409922293627 0.8387 0.8941
"24" "W_NB" -0.0905 0.897664040013877 0.9355 0.8977
"31" "mlp_7" -0.0905 0.897664031571554 0.9274 0.8977
"32" "mlp_9" -0.088 0.898116020929671 0.9113 0.8981
"60" "gbm_1_50" -0.0658 0.901841451528605 0.9435 0.9018
"118" "gcvEarth_d1" -0.063 0.902276111636586 0.9032 0.9023
"28" "mlp_1" -0.0569 0.903225890787644 0.9113 0.9032
"29" "mlp_3" -0.0569 0.903226242059557 0.9274 0.9032
"36" "pcaNNet" -0.0568 0.903235230556403 0.9435 0.9032
"17" "sda_L1.0" -0.0539 0.903667913765361 0.9435 0.9037
"30" "mlp_5" -0.0509 0.90411415299967 0.9435 0.9041
"33" "avNNet_decay1e04" -0.0509 0.904114130449434 0.9274 0.9041
"47" "svmLinear_C1" -0.0493 0.904360637615186 0.9274 0.9044
"48" "svmLinear_C2" -0.0493 0.904360637615186 0.9274 0.9044
"49" "svmLinear_C4" -0.0493 0.904360637615186 0.9274 0.9044
"50" "svmLinear_C8" -0.0493 0.904360637615186 0.9274 0.9044
"20" "fda_prune17" -0.0479 0.904568674281573 0.9032 0.9046
"9" "ctree_c0.01" -0.0393 0.905798837075579 0.8952 0.9058
"10" "ctree_c0.05" -0.0393 0.905798837075579 0.8952 0.9058
"11" "ctree_c0.99" -0.0393 0.905798837075579 0.8952 0.9058
"12" "JRip" -0.0393 0.905798837075579 0.8952 0.9058
"109" "Ibk_k2" -0.0379 0.905987904565445 0.9274 0.906
"110" "Ibk_k3" -0.0165 0.908832818985171 0.9194 0.9088
"23" "mda_subc4" -0.0116 0.909449643106819 0.9274 0.9094
"40" "SMV" -0.0111 0.909506711185927 0.8871 0.9095
"113" "Ibk_k9" -0.0025 0.91054696936783 0.9194 0.9105
"119" "gcvEarth_d2" 0.0011 0.910958942728246 0.9032 0.911
"19" "fda_prune9" 0.0076 0.911690660377791 0.9113 0.9117
"46" "svmLineart_C0.1" 0.0084 0.911778595735698 0.9113 0.9118
"56" "svmPoly_d_2_s_0.1" 0.0084 0.911778595735698 0.9113 0.9118
"53" "svmPoly_d_1_s_0.1" 0.0156 0.912557863573556 0.9355 0.9126
"22" "mda_subc3" 0.02 0.91300959091763 0.9274 0.913
"108" "Ibk_k1" 0.053 0.915977378934127 0.9194 0.916
"103" "knn_k2" 0.1052 0.919194821002401 0.9355 0.9192
"111" "Ibk_k5" 0.112 0.919505165320616 0.9355 0.9195
"102" "knn_k1" 0.1216 0.919907681138077 0.9516 0.9199
