"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"125" "MinorityClass" -2.1632 0.241444890809357 0.2065 0.2414
"127" "PessimalClass" -1.2991 0.251634864615153 0 0.2516
"122" "RandomClass_B" -0.6902 0.628479409604737 0.7419 0.6285
"25" "NB" -0.6826 0.639698970976314 0.6903 0.6397
"26" "NB_laplace" -0.6826 0.639698970976314 0.6903 0.6397
"121" "RandomClass_A" -0.6645 0.664841311559681 0.6774 0.6648
"123" "RandomClass_C" -0.6618 0.668345251013611 0.6516 0.6683
"28" "mlp_1" -0.4761 0.750560342743485 0.7484 0.7506
"109" "Ibk_k2" -0.4378 0.754915163597521 0.7935 0.7549
"9" "ctree_c0.01" -0.4075 0.757774334242232 0.7484 0.7578
"10" "ctree_c0.05" -0.4075 0.757774334242232 0.7484 0.7578
"108" "Ibk_k1" -0.3611 0.761386215658518 0.8194 0.7614
"22" "mda_subc3" -0.3373 0.762956219919555 0.7742 0.763
"29" "mlp_3" -0.3195 0.764018195213651 0.7806 0.764
"103" "knn_k2" -0.2635 0.766857213493784 0.8194 0.7669
"53" "svmPoly_d_1_s_0.1" -0.1776 0.770086163450016 0.8065 0.7701
"18" "fda_prune2" -0.169 0.770371572800777 0.7161 0.7704
"30" "mlp_5" -0.0777 0.775149085212764 0.7935 0.7751
"32" "mlp_9" -0.0653 0.776580909375277 0.8 0.7766
"1" "c5.0" -0.058 0.77758276759549 0.7226 0.7776
"3" "J48" -0.0473 0.779284984280908 0.7419 0.7793
"4" "J48Unp" -0.0473 0.779284984280908 0.7419 0.7793
"84" "rrf_mtry16" -0.0469 0.779366417252188 0.7032 0.7794
"104" "knn_k3" -0.0336 0.781864769164796 0.7806 0.7819
"86" "rrf_mtry64" -0.0335 0.781899895139082 0.729 0.7819
"111" "Ibk_k5" -0.0194 0.784917245774481 0.8129 0.7849
"35" "avNNet_decay0" -0.0179 0.785267165631513 0.7935 0.7853
"41" "svmRadialCost_C0.01" -0.0179 0.785267165631513 0.7935 0.7853
"42" "svmRadialCost_C0.1" -0.0179 0.785267165631513 0.7935 0.7853
"45" "svmLinear_C0.01" -0.0179 0.785267165631513 0.7871 0.7853
"51" "svmPoly_d_1_s_0.001" -0.0179 0.785267165631513 0.7935 0.7853
"52" "svmPoly_d_1_s_0.01" -0.0179 0.785267165631513 0.7871 0.7853
"54" "svmPoly_d_2_s_0.001" -0.0179 0.785267165631513 0.7935 0.7853
"57" "svmPoly_d_3_s_0.001" -0.0179 0.785267165631513 0.7935 0.7853
"88" "cforest_mtry2" -0.0179 0.785267165631513 0.7935 0.7853
"124" "MajorityClass" -0.0179 0.785267165631513 0.7935 0.7853
"119" "gcvEarth_d2" -0.0148 0.785965112789743 0.7548 0.786
"34" "avNNet_decay01" -0.0133 0.78631326164633 0.8129 0.7863
"113" "Ibk_k9" -0.0068 0.78780179717958 0.8452 0.7878
"38" "lvq_3" -0.0049 0.788251813737873 0.8129 0.7883
"107" "knn_k9" -0.0042 0.788408501298377 0.8452 0.7884
"14" "PART" -0.004 0.788466371516354 0.7871 0.7885
"106" "knn_k7" -0.0026 0.788768534230739 0.8 0.7888
"112" "Ibk_k7" -0.0021 0.788885331378324 0.8065 0.7889
"44" "svmRadialCost_C2" -0.0003 0.789317774863328 0.8258 0.7893
"36" "pcaNNet" -0.0001 0.789348378113428 0.7806 0.7893
"37" "lvq_1" 0.0002 0.789422619325374 0.7806 0.7894
"8" "rpart" 0.001 0.789596375133875 0.7613 0.7896
"17" "sda_L1.0" 0.0024 0.789929235677286 0.8323 0.7899
"13" "JRip_Unp" 0.0045 0.790408746838344 0.7742 0.7904
"105" "knn_k5" 0.005 0.790519757162147 0.8 0.7905
"2" "c5.0_winnow" 0.0069 0.790932865474705 0.7742 0.7909
"110" "Ibk_k3" 0.0071 0.790993662486841 0.8258 0.791
"11" "ctree_c0.99" 0.0091 0.791433484539346 0.7806 0.7914
"12" "JRip" 0.0091 0.791433484539346 0.7806 0.7914
"59" "svmPoly_d_3_s_0.1" 0.0098 0.791580289652751 0.8258 0.7916
"89" "cforest_mtry4" 0.0106 0.791750224500265 0.8 0.7918
"85" "rrf_mtry32" 0.0188 0.793481233130783 0.7484 0.7935
"120" "gcvEarth_d3" 0.0194 0.793603324020823 0.7613 0.7936
"87" "rrf_mtry128" 0.02 0.793729539063157 0.7355 0.7937
"23" "mda_subc4" 0.0201 0.793749228452856 0.8129 0.7937
"82" "rrf_mtry4" 0.023 0.794310767680147 0.7613 0.7943
"19" "fda_prune9" 0.0242 0.794545237347935 0.7548 0.7945
"24" "W_NB" 0.0248 0.794654810539869 0.8387 0.7947
"102" "knn_k1" 0.0251 0.794721124269504 0.8387 0.7947
"21" "mda_subc2" 0.0277 0.795200362355497 0.7677 0.7952
