"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"127" "PessimalClass" -4.9649 0.240732939170187 0 0.2407
"125" "MinorityClass" -4.9165 0.241615750164906 0.4236 0.2416
"123" "RandomClass_C" -2.5929 0.430197950596141 0.4934 0.4302
"122" "RandomClass_B" -2.5673 0.434291947262226 0.5546 0.4343
"121" "RandomClass_A" -2.4862 0.447444281094127 0.5371 0.4474
"41" "svmRadialCost_C0.01" -1.5214 0.600106686104522 0.5764 0.6001
"124" "MajorityClass" -1.5214 0.600106686104522 0.5764 0.6001
"51" "svmPoly_d_1_s_0.001" -1.2363 0.660307864676428 0.6507 0.6603
"18" "fda_prune2" -0.6499 0.830127792312992 0.8122 0.8301
"70" "bagFDA_prune2" -0.6499 0.830127792312992 0.8122 0.8301
"82" "rrf_mtry4" -0.614 0.836873936727152 0.8428 0.8369
"120" "gcvEarth_d3" -0.5851 0.841949689984282 0.8515 0.8419
"8" "rpart" -0.5773 0.843254408373832 0.8428 0.8433
"2" "c5.0_winnow" -0.3368 0.873956992952473 0.8472 0.874
"11" "ctree_c0.99" -0.2757 0.879496898706101 0.8603 0.8795
"12" "JRip" -0.2757 0.879496898706101 0.8603 0.8795
"9" "ctree_c0.01" -0.2568 0.881106949967735 0.869 0.8811
"10" "ctree_c0.05" -0.2568 0.881106949967735 0.869 0.8811
"119" "gcvEarth_d2" -0.2548 0.881281686599911 0.8952 0.8813
"81" "rrf_mtry2" -0.1234 0.891885952974832 0.8996 0.8919
"3" "J48" -0.0433 0.898310875631428 0.8821 0.8983
"4" "J48Unp" -0.0433 0.898310875631428 0.8821 0.8983
"1" "c5.0" -0.0374 0.898788186983587 0.8821 0.8988
"14" "PART" 0.0024 0.902006449807432 0.9083 0.902
"69" "treeBag" 0.0046 0.902184149526608 0.8908 0.9022
"79" "rf_mtry64" 0.0158 0.903091426397882 0.8996 0.9031
"83" "rrf_mtry8" 0.018 0.903271209382409 0.8952 0.9033
"77" "rf_mtry16" 0.0229 0.903670109901776 0.8996 0.9037
"78" "rf_mtry32" 0.0237 0.903732835077606 0.9039 0.9037
"80" "rf_mtry128" 0.0237 0.903732835077606 0.9039 0.9037
"98" "parRF_mtry16" 0.0237 0.903732835077606 0.9039 0.9037
"99" "parRF_mtry32" 0.0237 0.903732835077606 0.9039 0.9037
"91" "cforest_mtry16" 0.0388 0.904956226844998 0.9083 0.905
"92" "cforest_mtry32" 0.0388 0.904956226844998 0.9083 0.905
"94" "cforest_mtry128" 0.0388 0.904956226844998 0.9083 0.905
"84" "rrf_mtry16" 0.0429 0.905290972165433 0.8952 0.9053
"87" "rrf_mtry128" 0.0429 0.905290972165433 0.8952 0.9053
"85" "rrf_mtry32" 0.0479 0.905696364035406 0.8996 0.9057
"86" "rrf_mtry64" 0.0582 0.906539396959731 0.9039 0.9065
"100" "parRF_mtry64" 0.065 0.907091993777803 0.9083 0.9071
"101" "parRF_mtry128" 0.065 0.907094178218317 0.9127 0.9071
"93" "cforest_mtry64" 0.0668 0.907245674503014 0.9127 0.9072
"71" "bagFDA_prune4" 0.1323 0.912678087237143 0.9083 0.9127
"13" "JRip_Unp" 0.19 0.91763243474032 0.8865 0.9176
"73" "bagFDA_prune16" 0.1948 0.918053833267017 0.9258 0.9181
"72" "bagFDA_prune8" 0.2208 0.920359652277012 0.9345 0.9204
"90" "cforest_mtry8" 0.2402 0.922105720981257 0.9301 0.9221
"97" "parRF_mtry8" 0.2543 0.923388071453387 0.9301 0.9234
"76" "rf_mtry8" 0.2968 0.927304834898935 0.9301 0.9273
"109" "Ibk_k2" 0.3854 0.935424887861509 0.9258 0.9354
"110" "Ibk_k3" 0.434 0.939573210397796 0.9345 0.9396
"111" "Ibk_k5" 0.4392 0.939991806406351 0.9214 0.94
"118" "gcvEarth_d1" 0.4561 0.941328792365643 0.9301 0.9413
"108" "Ibk_k1" 0.4717 0.942513244004375 0.9258 0.9425
"59" "svmPoly_d_3_s_0.1" 0.5372 0.946950963576786 0.9476 0.947
"38" "lvq_3" 0.5583 0.948199302088722 0.9345 0.9482
"37" "lvq_1" 0.5679 0.948738219568323 0.9476 0.9487
"112" "Ibk_k7" 0.5701 0.948858795083303 0.9345 0.9489
"89" "cforest_mtry4" 0.5731 0.949023327878549 0.9651 0.949
"113" "Ibk_k9" 0.5767 0.949215586045872 0.9345 0.9492
"21" "mda_subc2" 0.5804 0.949412916719447 0.9607 0.9494
"103" "knn_k2" 0.5837 0.949591743441162 0.9389 0.9496
"20" "fda_prune17" 0.6099 0.95091023315036 0.9738 0.9509
"22" "mda_subc3" 0.6322 0.951946869802413 0.9563 0.9519
"19" "fda_prune9" 0.6534 0.952865953343922 0.9694 0.9529
"66" "gbm_3_50" 0.6577 0.95304927748859 0.9476 0.953
"53" "svmPoly_d_1_s_0.1" 0.6611 0.953188356157891 0.9607 0.9532
"75" "rf_mtry4" 0.674 0.953704978758136 0.9563 0.9537
"88" "cforest_mtry2" 0.691 0.95435978841789 0.9607 0.9544
"106" "knn_k7" 0.7016 0.954750326586828 0.9607 0.9548
"39" "lvq_5" 0.7067 0.954931215520016 0.952 0.9549
"23" "mda_subc4" 0.725 0.955569527519624 0.9651 0.9556
"67" "gbm_3_100" 0.7463 0.956266491448038 0.9607 0.9563
"63" "gbm_2_50" 0.7779 0.957229299248435 0.9651 0.9572
"96" "parRF_mtry4" 0.7779 0.957229299248435 0.9651 0.9572
"54" "svmPoly_d_2_s_0.001" 0.7928 0.957655348394923 0.9476 0.9577
"60" "gbm_1_50" 0.8432 0.958973382746249 0.9651 0.959
"44" "svmRadialCost_C2" 0.8963 0.960195842896447 0.9651 0.9602
"43" "svmRadialCost_C1" 0.9006 0.960289027797929 0.9651 0.9603
"68" "gbm_3_150" 0.9058 0.960398710482486 0.9651 0.9604
"104" "knn_k3" 0.9249 0.960797428512972 0.9694 0.9608
"114" "pls_ncomp1" 0.9686 0.961653231787955 0.9563 0.9617
"116" "simpls_ncomp1" 0.9686 0.961653231787955 0.9563 0.9617
"95" "parRF_mtry2" 0.9727 0.961731674554898 0.9651 0.9617
"74" "rf_mtry2" 0.9825 0.96191400005777 0.9782 0.9619
"62" "gbm_1_150" 1.0128 0.962466124907341 0.9607 0.9625
"64" "gbm_2_100" 1.0129 0.962467618022204 0.9607 0.9625
"65" "gbm_2_150" 1.0221 0.962632439192607 0.9694 0.9626
"61" "gbm_1_100" 1.0526 0.963170464199005 0.9651 0.9632
"45" "svmLinear_C0.01" 1.0932 0.963879743589799 0.9782 0.9639
"52" "svmPoly_d_1_s_0.01" 1.0932 0.963879743589799 0.9782 0.9639
"17" "sda_L1.0" 1.1285 0.964503825569565 0.9738 0.9645
"105" "knn_k5" 1.1344 0.964609857742354 0.9738 0.9646
"57" "svmPoly_d_3_s_0.001" 1.2212 0.966248089321993 0.9651 0.9662
"42" "svmRadialCost_C0.1" 1.261 0.96705975048928 0.9738 0.9671
"16" "sda_L0.5" 1.2739 0.967328424320905 0.9825 0.9673
"55" "svmPoly_d_2_s_0.01" 1.2739 0.967328424320905 0.9825 0.9673
"48" "svmLinear_C2" 1.3187 0.96828134778404 0.9607 0.9683
"47" "svmLinear_C1" 1.3222 0.968357483568934 0.9651 0.9684
"36" "pcaNNet" 1.3447 0.968835970292355 0.9607 0.9688
"15" "sda_L0.0" 1.3511 0.968973239405322 0.9782 0.969
"27" "rbf" 1.3569 0.969093838658801 0.9563 0.9691
"102" "knn_k1" 1.3683 0.969333106667415 0.9476 0.9693
"50" "svmLinear_C8" 1.5705 0.972673638879261 0.9563 0.9727
"107" "knn_k9" 1.6011 0.973002361017199 0.9825 0.973
"49" "svmLinear_C4" 1.6083 0.973074604883783 0.9694 0.9731
"5" "LMT" 1.644 0.973399755216949 0.9825 0.9734
"6" "LMT_CV" 1.644 0.973399755216949 0.9825 0.9734
"29" "mlp_3" 1.6447 0.97340540524277 0.9651 0.9734
"31" "mlp_7" 1.6447 0.97340540524277 0.9651 0.9734
"32" "mlp_9" 1.6447 0.97340540524277 0.9651 0.9734
"58" "svmPoly_d_3_s_0.01" 1.6492 0.973443565693183 0.9825 0.9734
"33" "avNNet_decay1e04" 1.66 0.973531150111376 0.9738 0.9735
"34" "avNNet_decay01" 1.6612 0.973540412317453 0.9869 0.9735
"40" "SMV" 1.6612 0.973540091584704 0.9825 0.9735
"46" "svmLineart_C0.1" 1.6612 0.973540091584704 0.9825 0.9735
"56" "svmPoly_d_2_s_0.1" 1.6612 0.973540091584704 0.9825 0.9735
"115" "pls_ncomp2" 1.6612 0.973540091584704 0.9825 0.9735
"117" "simpls_ncomp2" 1.6612 0.973540091584704 0.9825 0.9735
"7" "LMT_AIC" 1.6615 0.973542436676272 0.9869 0.9735
"28" "mlp_1" 1.6784 0.973671707839646 0.9694 0.9737
"30" "mlp_5" 1.6784 0.973671707839646 0.9694 0.9737
"35" "avNNet_decay0" 1.7096 0.97388913155269 0.9825 0.9739
"24" "W_NB" 2.4318 0.977180051822307 0.9738 0.9772
"25" "NB" 2.4606 0.977333291329474 0.9869 0.9773
"26" "NB_laplace" 2.4606 0.977333291329474 0.9869 0.9773
"126" "OptimalClass" 2.4622 0.977341816400937 1 0.9773
