"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"121" "RandomClass_A" -2.1435 0.331384775572402 0.3458 0.3314
"51" "svmPoly_d_1_s_0.001" -2.0747 0.330818850995865 0.3551 0.3308
"54" "svmPoly_d_2_s_0.001" -2.0747 0.330818850995865 0.3551 0.3308
"57" "svmPoly_d_3_s_0.001" -2.0747 0.330818850995865 0.3551 0.3308
"45" "svmLinear_C0.01" -2.0713 0.330762584703009 0.3738 0.3308
"52" "svmPoly_d_1_s_0.01" -2.0713 0.330762584703009 0.3738 0.3308
"41" "svmRadialCost_C0.01" -2.0654 0.330660660351961 0.3364 0.3307
"42" "svmRadialCost_C0.1" -2.0654 0.330660660351961 0.3364 0.3307
"122" "RandomClass_B" -2.0616 0.330593635353258 0.3364 0.3306
"127" "PessimalClass" -2.03 0.330073606580999 0 0.3301
"125" "MinorityClass" -2.0256 0.33001655610155 0.2897 0.33
"70" "bagFDA_prune2" -1.9985 0.329832804583885 0.0841 0.3298
"71" "bagFDA_prune4" -1.9899 0.32984719575936 0.1776 0.3298
"124" "MajorityClass" -1.9676 0.330069199379423 0.3551 0.3301
"114" "pls_ncomp1" -1.9479 0.330484556670165 0.4019 0.3305
"116" "simpls_ncomp1" -1.9479 0.330484556670165 0.4019 0.3305
"28" "mlp_1" -1.5177 0.359762335706281 0.4486 0.3598
"11" "ctree_c0.99" -1.4585 0.366321708268285 0.3551 0.3663
"12" "JRip" -1.4585 0.366321708268285 0.3551 0.3663
"123" "RandomClass_C" -1.3745 0.377775070285034 0.3551 0.3778
"18" "fda_prune2" -1.3589 0.380165355807511 0.4299 0.3802
"72" "bagFDA_prune8" -1.3531 0.381068068663116 0.2897 0.3811
"55" "svmPoly_d_2_s_0.01" -1.09 0.416297264228468 0.4299 0.4163
"8" "rpart" -0.9686 0.429053289320358 0.4206 0.4291
"19" "fda_prune9" -0.7835 0.454523267477281 0.4953 0.4545
"20" "fda_prune17" -0.7835 0.454523267477281 0.4953 0.4545
"118" "gcvEarth_d1" -0.7723 0.456706450478376 0.5047 0.4567
"73" "bagFDA_prune16" -0.747 0.462289663022267 0.4766 0.4623
"58" "svmPoly_d_3_s_0.01" -0.6769 0.480830808676895 0.486 0.4808
"40" "SMV" -0.6681 0.482989663459232 0.4953 0.483
"46" "svmLineart_C0.1" -0.6675 0.483129782341024 0.4953 0.4831
"56" "svmPoly_d_2_s_0.1" -0.6675 0.483129782341024 0.4953 0.4831
"22" "mda_subc3" -0.6667 0.483317625559562 0.4673 0.4833
"47" "svmLinear_C1" -0.6649 0.48375758560719 0.4953 0.4838
"48" "svmLinear_C2" -0.6649 0.483757481444105 0.5047 0.4838
"49" "svmLinear_C4" -0.6649 0.483757481444105 0.5047 0.4838
"50" "svmLinear_C8" -0.6649 0.483757481444105 0.5047 0.4838
"15" "sda_L0.0" -0.6582 0.485307710158121 0.4953 0.4853
"120" "gcvEarth_d3" -0.6582 0.485317944555557 0.5327 0.4853
"9" "ctree_c0.01" -0.6563 0.485747638916911 0.4579 0.4857
"10" "ctree_c0.05" -0.6563 0.485747638916911 0.4579 0.4857
"119" "gcvEarth_d2" -0.6535 0.486372019229013 0.5421 0.4864
"39" "lvq_5" -0.6448 0.488274695329645 0.4953 0.4883
"107" "knn_k9" -0.6423 0.488798209522964 0.514 0.4888
"21" "mda_subc2" -0.5066 0.506196313161498 0.486 0.5062
"53" "svmPoly_d_1_s_0.1" -0.4947 0.507229526405152 0.4953 0.5072
"13" "JRip_Unp" -0.3965 0.515168372028748 0.5514 0.5152
"115" "pls_ncomp2" -0.3754 0.516769685138319 0.514 0.5168
"117" "simpls_ncomp2" -0.3754 0.516769685138319 0.514 0.5168
"29" "mlp_3" -0.3284 0.520253650254229 0.5701 0.5203
"30" "mlp_5" -0.2733 0.524251990137211 0.5794 0.5243
