"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"125" "MinorityClass" -6.6782 0.153781666011003 0.1661 0.1538
"127" "PessimalClass" -6.4129 0.158689213367408 0 0.1587
"15" "sda_L0.0" -4.2496 0.33286147492711 0.4649 0.3329
"123" "RandomClass_C" -4.0219 0.370180087679084 0.4059 0.3702
"121" "RandomClass_A" -3.9778 0.377635346876236 0.4059 0.3776
"122" "RandomClass_B" -3.7145 0.422654957807617 0.4317 0.4227
"41" "svmRadialCost_C0.01" -2.2008 0.591562338485502 0.5314 0.5916
"51" "svmPoly_d_1_s_0.001" -2.2008 0.591562338485502 0.5314 0.5916
"124" "MajorityClass" -2.2008 0.591562338485502 0.5314 0.5916
"54" "svmPoly_d_2_s_0.001" -2.1779 0.593131178653205 0.5351 0.5931
"57" "svmPoly_d_3_s_0.001" -1.8541 0.623689257772859 0.6199 0.6237
"82" "rrf_mtry4" -1.2953 0.702876376407669 0.7638 0.7029
"83" "rrf_mtry8" -1.2953 0.702876376407669 0.7638 0.7029
"84" "rrf_mtry16" -1.2953 0.702876376407669 0.7638 0.7029
"85" "rrf_mtry32" -1.2953 0.702876376407669 0.7638 0.7029
"86" "rrf_mtry64" -1.2953 0.702876376407669 0.7638 0.7029
"87" "rrf_mtry128" -1.2953 0.702876376407669 0.7638 0.7029
"81" "rrf_mtry2" -1.2657 0.706729837403544 0.7823 0.7067
"114" "pls_ncomp1" -0.898 0.76565406938369 0.7159 0.7657
"116" "simpls_ncomp1" -0.898 0.76565406938369 0.7159 0.7657
"45" "svmLinear_C0.01" -0.6915 0.791276372590258 0.7601 0.7913
"52" "svmPoly_d_1_s_0.01" -0.6915 0.791276372590258 0.7601 0.7913
"18" "fda_prune2" -0.6524 0.795606309501159 0.8229 0.7956
"28" "mlp_1" -0.6459 0.796339775531196 0.8266 0.7963
"70" "bagFDA_prune2" -0.6459 0.796339775531196 0.8266 0.7963
"42" "svmRadialCost_C0.1" -0.4424 0.824347925613211 0.8081 0.8243
"36" "pcaNNet" -0.4149 0.828995980698359 0.8561 0.829
"55" "svmPoly_d_2_s_0.01" -0.1574 0.87037295293311 0.8524 0.8704
"71" "bagFDA_prune4" -0.1367 0.87306284559465 0.9151 0.8731
"40" "SMV" -0.1049 0.876954966125629 0.8487 0.877
"35" "avNNet_decay0" -0.0933 0.87829215165853 0.9114 0.8783
"108" "Ibk_k1" -0.0771 0.880109951280649 0.8413 0.8801
"88" "cforest_mtry2" -0.0734 0.88051198507659 0.8893 0.8805
"109" "Ibk_k2" -0.0717 0.880692583611415 0.8044 0.8807
"110" "Ibk_k3" -0.063 0.881622369904523 0.845 0.8816
"112" "Ibk_k7" -0.0615 0.881782893570109 0.8561 0.8818
"103" "knn_k2" -0.0601 0.881931099362416 0.8672 0.8819
"111" "Ibk_k5" -0.0512 0.882859608455748 0.8598 0.8829
"13" "JRip_Unp" -0.046 0.883383175286243 0.9077 0.8834
"39" "lvq_5" -0.0444 0.883546268975452 0.8708 0.8835
"17" "sda_L1.0" -0.0424 0.883746177166173 0.8229 0.8837
"115" "pls_ncomp2" -0.0373 0.884253294889833 0.8266 0.8843
"117" "simpls_ncomp2" -0.0373 0.884253294889833 0.8266 0.8843
"104" "knn_k3" -0.0354 0.884451133782838 0.8745 0.8845
"37" "lvq_1" -0.024 0.885555040159978 0.8598 0.8856
"113" "Ibk_k9" -0.0111 0.886777932780534 0.8598 0.8868
"106" "knn_k7" -0.0058 0.88727572207022 0.8672 0.8873
"58" "svmPoly_d_3_s_0.01" 0.0022 0.888010163017991 0.8672 0.888
"107" "knn_k9" 0.0054 0.88829989717172 0.8672 0.8883
"102" "knn_k1" 0.0165 0.889284010289623 0.8893 0.8893
"38" "lvq_3" 0.0521 0.892333346923571 0.8708 0.8923
"27" "rbf" 0.0648 0.893392508177486 0.8893 0.8934
"25" "NB" 0.0998 0.896230932165884 0.9004 0.8962
"26" "NB_laplace" 0.0998 0.896230932165884 0.9004 0.8962
"16" "sda_L0.5" 0.1039 0.89656025609531 0.8672 0.8966
"24" "W_NB" 0.1052 0.896669610301967 0.9004 0.8967
"105" "knn_k5" 0.126 0.898344263407869 0.8856 0.8983
"22" "mda_subc3" 0.2827 0.911342169918034 0.893 0.9113
"23" "mda_subc4" 0.3876 0.918980363207268 0.893 0.919
"21" "mda_subc2" 0.4381 0.922194549176678 0.9114 0.9222
"43" "svmRadialCost_C1" 0.4714 0.924234532171392 0.9225 0.9242
"46" "svmLineart_C0.1" 0.4994 0.925915291735014 0.9188 0.9259
"56" "svmPoly_d_2_s_0.1" 0.4994 0.925915291735014 0.9188 0.9259
"20" "fda_prune17" 0.5492 0.928798378124647 0.9299 0.9288
"53" "svmPoly_d_1_s_0.1" 0.5665 0.929757063556155 0.9336 0.9298
"19" "fda_prune9" 0.5927 0.931150929806719 0.9299 0.9312
"120" "gcvEarth_d3" 0.5966 0.931352540868396 0.9557 0.9314
"119" "gcvEarth_d2" 0.6424 0.93360714232484 0.9373 0.9336
"6" "LMT_CV" 0.6734 0.935018698363155 0.952 0.935
"44" "svmRadialCost_C2" 0.7326 0.937509659809925 0.9446 0.9375
"59" "svmPoly_d_3_s_0.1" 0.7359 0.937642446883503 0.952 0.9376
"29" "mlp_3" 0.7459 0.938038890537545 0.9594 0.938
"5" "LMT" 0.7995 0.940079145644101 0.9446 0.9401
"48" "svmLinear_C2" 0.8046 0.940267676402456 0.9557 0.9403
"50" "svmLinear_C8" 0.8102 0.940476007216632 0.9483 0.9405
"7" "LMT_AIC" 0.817 0.940723889753303 0.941 0.9407
"118" "gcvEarth_d1" 0.8294 0.94117253342061 0.941 0.9412
"32" "mlp_9" 0.8407 0.941580202091026 0.952 0.9416
"47" "svmLinear_C1" 0.8447 0.941722573821201 0.9483 0.9417
"34" "avNNet_decay01" 0.868 0.942550409605782 0.9557 0.9426
"49" "svmLinear_C4" 0.8726 0.942714819397585 0.9594 0.9427
"67" "gbm_3_100" 0.8926 0.943415748325616 0.9557 0.9434
"73" "bagFDA_prune16" 0.9182 0.944308996715723 0.9557 0.9443
"65" "gbm_2_150" 0.9186 0.944324388569323 0.952 0.9443
"30" "mlp_5" 0.9393 0.945042559932287 0.9483 0.945
"31" "mlp_7" 0.9482 0.945351646319192 0.9631 0.9454
"63" "gbm_2_50" 0.9498 0.945406783528002 0.9446 0.9454
"33" "avNNet_decay1e04" 0.9536 0.945540094120591 0.9483 0.9455
"72" "bagFDA_prune8" 0.9805 0.946472394752774 0.9631 0.9465
"61" "gbm_1_100" 0.9883 0.946745057754458 0.941 0.9467
"62" "gbm_1_150" 1.0141 0.947644217480048 0.9336 0.9476
"64" "gbm_2_100" 1.0482 0.948832147043881 0.9483 0.9488
"66" "gbm_3_50" 1.1016 0.950690541365741 0.9557 0.9507
"69" "treeBag" 1.1402 0.952007527917911 0.9446 0.952
"68" "gbm_3_150" 1.1498 0.952330987211218 0.9483 0.9523
"74" "rf_mtry2" 1.1535 0.952454301500506 0.9631 0.9525
"60" "gbm_1_50" 1.1554 0.952520680584004 0.9446 0.9525
"3" "J48" 1.1638 0.952796773424502 0.9373 0.9528
"4" "J48Unp" 1.1638 0.952796773424502 0.9373 0.9528
"89" "cforest_mtry4" 1.1946 0.953798864600145 0.9299 0.9538
"1" "c5.0" 1.2052 0.954134214459818 0.9483 0.9541
"101" "parRF_mtry128" 1.2715 0.956100462897252 0.9668 0.9561
"79" "rf_mtry64" 1.2975 0.956803621718681 0.9705 0.9568
"80" "rf_mtry128" 1.2975 0.956803621718681 0.9705 0.9568
"97" "parRF_mtry8" 1.2975 0.956803621718681 0.9705 0.9568
"95" "parRF_mtry2" 1.3658 0.958462602653004 0.9705 0.9585
"75" "rf_mtry4" 1.3768 0.958702265284931 0.9742 0.9587
"14" "PART" 1.387 0.958919941592441 0.9483 0.9589
"9" "ctree_c0.01" 1.3892 0.958965761817186 0.952 0.959
"10" "ctree_c0.05" 1.3892 0.958965761817186 0.952 0.959
"11" "ctree_c0.99" 1.3892 0.958965761817186 0.952 0.959
"12" "JRip" 1.3892 0.958965761817186 0.952 0.959
"90" "cforest_mtry8" 1.3901 0.958985124337833 0.9483 0.959
"91" "cforest_mtry16" 1.4037 0.959263767244686 0.952 0.9593
"92" "cforest_mtry32" 1.4037 0.959263767244686 0.952 0.9593
"93" "cforest_mtry64" 1.4037 0.959263767244686 0.952 0.9593
"94" "cforest_mtry128" 1.4037 0.959263767244686 0.952 0.9593
"8" "rpart" 1.4729 0.96053308624678 0.9631 0.9605
"2" "c5.0_winnow" 1.4788 0.960629807490519 0.9594 0.9606
"126" "OptimalClass" 1.8292 0.96443602769507 1 0.9644
"76" "rf_mtry8" 1.9339 0.96514458501741 0.9742 0.9651
"77" "rf_mtry16" 1.9339 0.96514458501741 0.9742 0.9651
"98" "parRF_mtry16" 1.9339 0.96514458501741 0.9742 0.9651
"99" "parRF_mtry32" 1.9339 0.96514458501741 0.9742 0.9651
"100" "parRF_mtry64" 1.9339 0.96514458501741 0.9742 0.9651
"78" "rf_mtry32" 2.0254 0.96568532480234 0.9779 0.9657
"96" "parRF_mtry4" 2.0254 0.96568532480234 0.9779 0.9657
