"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"123" "RandomClass_C" -2.135 0.34169120088801 0.3179 0.3417
"41" "svmRadialCost_C0.01" -2.0973 0.337904360349591 0.3444 0.3379
"51" "svmPoly_d_1_s_0.001" -2.0973 0.337904360349591 0.3444 0.3379
"54" "svmPoly_d_2_s_0.001" -2.0973 0.337904360349591 0.3444 0.3379
"57" "svmPoly_d_3_s_0.001" -2.0973 0.337904360349591 0.3444 0.3379
"124" "MajorityClass" -2.0973 0.337904360349591 0.3444 0.3379
"122" "RandomClass_B" -2.0505 0.336093220921799 0.3775 0.3361
"70" "bagFDA_prune2" -2.0374 0.336418825183741 0 0.3364
"127" "PessimalClass" -2.0374 0.336418825183741 0 0.3364
"121" "RandomClass_A" -2.0278 0.33689337150268 0.3642 0.3369
"71" "bagFDA_prune4" -1.987 0.340435764822222 0.0464 0.3404
"125" "MinorityClass" -1.9615 0.342927494575118 0.3245 0.3429
"42" "svmRadialCost_C0.1" -1.9569 0.343346540415849 0.4172 0.3433
"72" "bagFDA_prune8" -1.9567 0.343360785097857 0.0927 0.3434
"11" "ctree_c0.99" -1.4379 0.383939929243129 0.351 0.3839
"12" "JRip" -1.4379 0.383939929243129 0.351 0.3839
"18" "fda_prune2" -1.4311 0.384888669494758 0.2583 0.3849
"45" "svmLinear_C0.01" -1.3804 0.39325290390622 0.4371 0.3933
"52" "svmPoly_d_1_s_0.01" -1.3804 0.39325290390622 0.4371 0.3933
"73" "bagFDA_prune16" -1.3721 0.394824663475732 0.2848 0.3948
"19" "fda_prune9" -1.3677 0.395673236705978 0.2848 0.3957
"20" "fda_prune17" -1.3677 0.395673236705978 0.2848 0.3957
"118" "gcvEarth_d1" -1.3546 0.398274627982468 0.3775 0.3983
"114" "pls_ncomp1" -1.3454 0.400140844667664 0.4503 0.4001
"116" "simpls_ncomp1" -1.3454 0.400140844667664 0.4503 0.4001
"28" "mlp_1" -1.2745 0.412809330661426 0.4636 0.4128
"25" "NB" -1.2041 0.420379178721214 0.4901 0.4204
"26" "NB_laplace" -1.2041 0.420379178721214 0.4901 0.4204
"113" "Ibk_k9" -1.1655 0.423595035151369 0.4702 0.4236
"112" "Ibk_k7" -1.0647 0.431035819221037 0.5033 0.431
"119" "gcvEarth_d2" -1.0589 0.431438071747727 0.4106 0.4314
"58" "svmPoly_d_3_s_0.01" -1.0006 0.435364988796381 0.4636 0.4354
"22" "mda_subc3" -0.9543 0.438348374104773 0.4901 0.4383
"107" "knn_k9" -0.9528 0.438440763635631 0.4702 0.4384
"21" "mda_subc2" -0.9171 0.440677481168706 0.4503 0.4407
"39" "lvq_5" -0.8967 0.441941543171568 0.5232 0.4419
"55" "svmPoly_d_2_s_0.01" -0.7266 0.456149351460094 0.4901 0.4561
"106" "knn_k7" -0.7242 0.456474422699257 0.4901 0.4565
"120" "gcvEarth_d3" -0.7175 0.457401154326762 0.4768 0.4574
"46" "svmLineart_C0.1" -0.7095 0.458515251743107 0.4768 0.4585
"56" "svmPoly_d_2_s_0.1" -0.7095 0.458515251743107 0.4768 0.4585
"40" "SMV" -0.7055 0.459070766021292 0.5033 0.4591
"50" "svmLinear_C8" -0.6976 0.460174963890403 0.5497 0.4602
"47" "svmLinear_C1" -0.697 0.460252087785928 0.5364 0.4603
"48" "svmLinear_C2" -0.697 0.460252087785928 0.5364 0.4603
"49" "svmLinear_C4" -0.697 0.460252087785928 0.5364 0.4603
"115" "pls_ncomp2" -0.6954 0.460483258961147 0.5232 0.4605
"117" "simpls_ncomp2" -0.6954 0.460483258961147 0.5232 0.4605
"15" "sda_L0.0" -0.695 0.460533591785656 0.5232 0.4605
"16" "sda_L0.5" -0.6937 0.460720306875103 0.5099 0.4607
"32" "mlp_9" -0.691 0.4610865175164 0.4967 0.4611
"17" "sda_L1.0" -0.6901 0.461216684257688 0.5232 0.4612
"24" "W_NB" -0.6867 0.461685719070958 0.5364 0.4617
"53" "svmPoly_d_1_s_0.1" -0.686 0.461789379278996 0.5166 0.4618
"13" "JRip_Unp" -0.6397 0.467199730625399 0.4305 0.4672
"8" "rpart" -0.6303 0.467979474151212 0.4901 0.468
"9" "ctree_c0.01" -0.6192 0.468759920417541 0.5166 0.4688
"10" "ctree_c0.05" -0.6192 0.468759920417541 0.5166 0.4688
"5" "LMT" -0.6117 0.469222989971161 0.4967 0.4692
"111" "Ibk_k5" -0.6067 0.469511665990628 0.4901 0.4695
"6" "LMT_CV" -0.6062 0.469538610832079 0.4834 0.4695
"1" "c5.0" -0.6021 0.469758385383765 0.5166 0.4698
"105" "knn_k5" -0.5986 0.469936167539644 0.5033 0.4699
"38" "lvq_3" -0.5726 0.471089481950633 0.4901 0.4711
"2" "c5.0_winnow" -0.5637 0.471431233530426 0.4702 0.4714
"7" "LMT_AIC" -0.5577 0.471652909840755 0.5033 0.4717
"23" "mda_subc4" -0.5272 0.47267249144978 0.4901 0.4727
"3" "J48" -0.5114 0.473146635612621 0.5563 0.4731
