"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"125" "MinorityClass" -3.7579 0.205065590826841 0.1935 0.2051
"127" "PessimalClass" -3.3114 0.21239820731581 0 0.2124
"122" "RandomClass_B" -2.1289 0.378969578998046 0.3774 0.379
"123" "RandomClass_C" -2.1169 0.382352181149039 0.4065 0.3824
"121" "RandomClass_A" -2.0629 0.397744000427134 0.3742 0.3977
"15" "sda_L0.0" -1.938 0.434167872271233 0.5065 0.4342
"41" "svmRadialCost_C0.01" -1.2817 0.573751270927096 0.4839 0.5738
"51" "svmPoly_d_1_s_0.001" -1.2817 0.573751270927096 0.4839 0.5738
"124" "MajorityClass" -1.2817 0.573751270927096 0.4839 0.5738
"54" "svmPoly_d_2_s_0.001" -0.9008 0.628776310903984 0.5871 0.6288
"114" "pls_ncomp1" -0.6269 0.666771491229047 0.6871 0.6668
"116" "simpls_ncomp1" -0.6269 0.666771491229047 0.6871 0.6668
"57" "svmPoly_d_3_s_0.001" -0.5763 0.673116951955412 0.6935 0.6731
"45" "svmLinear_C0.01" -0.2804 0.706630778563625 0.7226 0.7066
"52" "svmPoly_d_1_s_0.01" -0.2804 0.706630778563625 0.7226 0.7066
"18" "fda_prune2" -0.1803 0.718916592263515 0.7613 0.7189
"28" "mlp_1" -0.1733 0.71992681527359 0.771 0.7199
"70" "bagFDA_prune2" -0.1676 0.720793242233374 0.7774 0.7208
"42" "svmRadialCost_C0.1" -0.1612 0.721771484849749 0.7387 0.7218
"81" "rrf_mtry2" -0.0916 0.734227802120332 0.7516 0.7342
"86" "rrf_mtry64" -0.0714 0.738383967459667 0.7484 0.7384
"84" "rrf_mtry16" -0.0707 0.7385377061481 0.7548 0.7385
"82" "rrf_mtry4" -0.0697 0.738755488817458 0.7484 0.7388
"87" "rrf_mtry128" -0.0682 0.739060476734785 0.7516 0.7391
"83" "rrf_mtry8" -0.0663 0.739465851604619 0.7548 0.7395
"85" "rrf_mtry32" -0.0507 0.742820991547711 0.7516 0.7428
"55" "svmPoly_d_2_s_0.01" -0.0238 0.748655389219985 0.7677 0.7487
