"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"127" "PessimalClass" -2.8781 0.290528676667126 0 0.2905
"125" "MinorityClass" -2.1057 0.483504722254537 0.4444 0.4835
"123" "RandomClass_C" -2.0691 0.500421560074607 0.4889 0.5004
"122" "RandomClass_B" -2.0603 0.504496487573954 0.5778 0.5045
"121" "RandomClass_A" -2.0534 0.507717957631225 0.5259 0.5077
"41" "svmRadialCost_C0.01" -2.0477 0.510412608546395 0.5556 0.5104
"124" "MajorityClass" -2.0477 0.510412608546395 0.5556 0.5104
"51" "svmPoly_d_1_s_0.001" -1.9225 0.568060921688552 0.6111 0.5681
"18" "fda_prune2" -1.3494 0.712685021335877 0.7074 0.7127
"70" "bagFDA_prune2" -1.2616 0.722177367976368 0.7111 0.7222
"11" "ctree_c0.99" -1.2125 0.726975236090359 0.7259 0.727
"12" "JRip" -1.2125 0.726975236090359 0.7259 0.727
"126" "OptimalClass" -0.902 0.752051507424896 1 0.7521
"87" "rrf_mtry128" -0.8285 0.756839313802889 0.7222 0.7568
"103" "knn_k2" -0.8242 0.757111041654793 0.763 0.7571
"9" "ctree_c0.01" -0.7936 0.75906960975811 0.763 0.7591
"10" "ctree_c0.05" -0.7936 0.75906960975811 0.763 0.7591
"85" "rrf_mtry32" -0.7713 0.760471992184513 0.7296 0.7605
"84" "rrf_mtry16" -0.7589 0.76124332221022 0.7333 0.7612
"109" "Ibk_k2" -0.7406 0.762352998648901 0.7926 0.7624
"14" "PART" -0.7257 0.763235738026607 0.7741 0.7632
"102" "knn_k1" -0.7235 0.763362033590658 0.7593 0.7634
"13" "JRip_Unp" -0.7001 0.764683614483704 0.7556 0.7647
"3" "J48" -0.6974 0.764829979444278 0.7593 0.7648
"4" "J48Unp" -0.6974 0.764829979444278 0.7593 0.7648
"1" "c5.0" -0.6918 0.76513368613621 0.7481 0.7651
"120" "gcvEarth_d3" -0.664 0.766565049438526 0.7778 0.7666
"82" "rrf_mtry4" -0.6637 0.766577326403971 0.7704 0.7666
"2" "c5.0_winnow" -0.6624 0.766640065520301 0.8148 0.7666
"108" "Ibk_k1" -0.6331 0.768021824526209 0.763 0.768
"86" "rrf_mtry64" -0.5971 0.769563300988942 0.7407 0.7696
"83" "rrf_mtry8" -0.523 0.772351864902071 0.763 0.7724
"59" "svmPoly_d_3_s_0.1" -0.5154 0.772617039141763 0.7852 0.7726
"119" "gcvEarth_d2" -0.5037 0.773021007276718 0.7852 0.773
"81" "rrf_mtry2" -0.3531 0.778172657344276 0.7778 0.7782
"68" "gbm_3_150" -0.2034 0.783680462160941 0.7815 0.7837
"71" "bagFDA_prune4" -0.1152 0.78672572721897 0.8 0.7867
"111" "Ibk_k5" -0.1121 0.78683118570469 0.7852 0.7868
"8" "rpart" -0.112 0.786832038868694 0.7889 0.7868
"65" "gbm_2_150" -0.0794 0.787915443275398 0.7815 0.7879
"118" "gcvEarth_d1" -0.0698 0.788224583328946 0.8111 0.7882
"53" "svmPoly_d_1_s_0.1" -0.0556 0.788680664484656 0.8111 0.7887
"98" "parRF_mtry16" -0.014 0.789969372977484 0.7815 0.79
"110" "Ibk_k3" -0.0066 0.790195291801897 0.7889 0.7902
"78" "rf_mtry32" 0.0096 0.790685334331303 0.7778 0.7907
"100" "parRF_mtry64" 0.0221 0.791060683024177 0.7741 0.7911
"80" "rf_mtry128" 0.0402 0.791606801102848 0.7741 0.7916
"69" "treeBag" 0.0592 0.792186750003724 0.763 0.7922
"77" "rf_mtry16" 0.0697 0.792508547131401 0.7852 0.7925
