"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"123" "RandomClass_C" -2.5991 0.202747766315799 0.217 0.2027
"125" "MinorityClass" -2.2608 0.191089313483956 0.1321 0.1911
"127" "PessimalClass" -2.0681 0.198731598324811 0 0.1987
"122" "RandomClass_B" -2.0633 0.198979538784872 0.2358 0.199
"121" "RandomClass_A" -1.8795 0.212973367160416 0.1604 0.213
"36" "pcaNNet" -1.4776 0.283272038667741 0.2925 0.2833
"51" "svmPoly_d_1_s_0.001" -1.3779 0.31155212596262 0.2075 0.3116
"41" "svmRadialCost_C0.01" -1.3454 0.320781869978745 0.2453 0.3208
"124" "MajorityClass" -1.3434 0.321365191501444 0.2075 0.3214
"42" "svmRadialCost_C0.1" -1.3384 0.322804579656292 0.2642 0.3228
"35" "avNNet_decay0" -1.3366 0.323310363692854 0.4623 0.3233
"54" "svmPoly_d_2_s_0.001" -1.2747 0.341434101576013 0.3113 0.3414
"57" "svmPoly_d_3_s_0.001" -0.9552 0.420265846380435 0.3585 0.4203
"70" "bagFDA_prune2" -0.9435 0.422273193768155 0.4623 0.4223
"45" "svmLinear_C0.01" -0.8188 0.437526668296179 0.4245 0.4375
"52" "svmPoly_d_1_s_0.01" -0.8188 0.437526668296179 0.4245 0.4375
"28" "mlp_1" -0.761 0.443699343565351 0.4245 0.4437
"114" "pls_ncomp1" -0.7473 0.445166826495526 0.4434 0.4452
"116" "simpls_ncomp1" -0.7473 0.445166826495526 0.4434 0.4452
"115" "pls_ncomp2" -0.7102 0.449221615933244 0.4906 0.4492
"117" "simpls_ncomp2" -0.7102 0.449221615933244 0.4906 0.4492
"18" "fda_prune2" -0.3831 0.496982726119621 0.5566 0.497
"55" "svmPoly_d_2_s_0.01" -0.2924 0.524197691486534 0.566 0.5242
"58" "svmPoly_d_3_s_0.01" -0.268 0.528197075974942 0.5849 0.5282
"46" "svmLineart_C0.1" -0.2443 0.531468846417496 0.5943 0.5315
"56" "svmPoly_d_2_s_0.1" -0.2443 0.531468846417496 0.5943 0.5315
"86" "rrf_mtry64" -0.0052 0.572806814331046 0.6038 0.5728
"87" "rrf_mtry128" -0.0051 0.572817072853421 0.6132 0.5728
"83" "rrf_mtry8" -0.0047 0.572915355628126 0.5943 0.5729
"84" "rrf_mtry16" -0.0042 0.573029225761235 0.6038 0.573
"85" "rrf_mtry32" -0.0009 0.573736680067807 0.6132 0.5737
"40" "SMV" 0.019 0.577919134825262 0.6132 0.5779
"11" "ctree_c0.99" 0.0817 0.589054279905009 0.6038 0.5891
"12" "JRip" 0.0817 0.589054279905009 0.6038 0.5891
"15" "sda_L0.0" 0.0894 0.590264315315766 0.5943 0.5903
"107" "knn_k9" 0.0903 0.590402989609534 0.6132 0.5904
"53" "svmPoly_d_1_s_0.1" 0.1025 0.592276768454161 0.6038 0.5923
"106" "knn_k7" 0.1058 0.592775209903055 0.6321 0.5928
"17" "sda_L1.0" 0.1414 0.598041037132927 0.6321 0.598
"39" "lvq_5" 0.1579 0.60043200148038 0.6226 0.6004
"112" "Ibk_k7" 0.2354 0.611493574658736 0.6698 0.6115
"113" "Ibk_k9" 0.2496 0.613505771106256 0.6698 0.6135
"111" "Ibk_k5" 0.3104 0.622086944875186 0.717 0.6221
"16" "sda_L0.5" 0.3335 0.625347638622807 0.6226 0.6253
"21" "mda_subc2" 0.3338 0.62537630620149 0.6887 0.6254
"109" "Ibk_k2" 0.3394 0.626172219789131 0.6698 0.6262
"103" "knn_k2" 0.3791 0.631780364374907 0.6887 0.6318
"37" "lvq_1" 0.398 0.634454734885573 0.6604 0.6345
"43" "svmRadialCost_C1" 0.437 0.640088190449475 0.6887 0.6401
"82" "rrf_mtry4" 0.4567 0.643004942616111 0.6321 0.643
"110" "Ibk_k3" 0.4793 0.646437239621705 0.6981 0.6464
"104" "knn_k3" 0.4811 0.64671154468445 0.7264 0.6467
"29" "mlp_3" 0.4936 0.648661619354495 0.6509 0.6487
"44" "svmRadialCost_C2" 0.4974 0.649265129482344 0.6981 0.6493
"38" "lvq_3" 0.5121 0.651604672408587 0.7075 0.6516
"105" "knn_k5" 0.5248 0.653675547956632 0.7264 0.6537
"59" "svmPoly_d_3_s_0.1" 0.555 0.658800061329839 0.6604 0.6588
"30" "mlp_5" 0.5579 0.659294293521081 0.6792 0.6593
"32" "mlp_9" 0.5815 0.663489163556113 0.6792 0.6635
"14" "PART" 0.5896 0.664959814128211 0.6038 0.665
"23" "mda_subc4" 0.5995 0.666771134096888 0.6981 0.6668
"47" "svmLinear_C1" 0.6178 0.670139343988441 0.6509 0.6701
"27" "rbf" 0.6207 0.67068252440791 0.7453 0.6707
"6" "LMT_CV" 0.6211 0.670745317453758 0.6415 0.6707
"31" "mlp_7" 0.6228 0.671073176336623 0.6887 0.6711
"33" "avNNet_decay1e04" 0.6285 0.67213079543394 0.7075 0.6721
"119" "gcvEarth_d2" 0.6388 0.674044395678743 0.6604 0.674
"7" "LMT_AIC" 0.6415 0.674537475269258 0.6415 0.6745
"24" "W_NB" 0.6418 0.674596400133333 0.6604 0.6746
"25" "NB" 0.643 0.674806045465529 0.6698 0.6748
"26" "NB_laplace" 0.643 0.674806045465529 0.6698 0.6748
"2" "c5.0_winnow" 0.6483 0.67578126325764 0.6415 0.6758
"22" "mda_subc3" 0.653 0.676656353916666 0.717 0.6767
"5" "LMT" 0.6603 0.677995982516707 0.6509 0.678
"102" "knn_k1" 0.6673 0.679263730721866 0.7075 0.6793
"19" "fda_prune9" 0.6708 0.679876202357442 0.6698 0.6799
"20" "fda_prune17" 0.6708 0.679876202357442 0.6698 0.6799
"65" "gbm_2_150" 0.6817 0.68182378278716 0.6981 0.6818
"108" "Ibk_k1" 0.6845 0.68231439001814 0.7264 0.6823
"62" "gbm_1_150" 0.6888 0.683057990027562 0.6792 0.6831
"120" "gcvEarth_d3" 0.7001 0.68498221733172 0.6509 0.685
"61" "gbm_1_100" 0.7016 0.685242351325799 0.6887 0.6852
"13" "JRip_Unp" 0.7043 0.685691937600463 0.5943 0.6857
"3" "J48" 0.7198 0.688214209896721 0.6509 0.6882
"4" "J48Unp" 0.7198 0.688214209896721 0.6509 0.6882
"64" "gbm_2_100" 0.7235 0.688810792267894 0.6981 0.6888
"71" "bagFDA_prune4" 0.7282 0.689543765262407 0.6604 0.6895
"34" "avNNet_decay01" 0.7383 0.691080891731198 0.7075 0.6911
"9" "ctree_c0.01" 0.7475 0.692449005326014 0.6321 0.6924
"10" "ctree_c0.05" 0.7475 0.692449005326014 0.6321 0.6924
