"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"127" "PessimalClass" -5.4186 0.0775812391014435 0 0.0776
"125" "MinorityClass" -5.4179 0.0775891106687931 0.0546 0.0776
"123" "RandomClass_C" -5.0216 0.140572195400099 0.1995 0.1406
"121" "RandomClass_A" -4.9845 0.161214165593594 0.194 0.1612
"122" "RandomClass_B" -4.9759 0.166170675065888 0.1995 0.1662
"35" "avNNet_decay0" -2.5227 0.35816335758859 0.306 0.3582
"41" "svmRadialCost_C0.01" -2.5227 0.35816335758859 0.306 0.3582
"124" "MajorityClass" -2.5227 0.35816335758859 0.306 0.3582
"18" "fda_prune2" -1.9226 0.505214965638172 0.4836 0.5052
"114" "pls_ncomp1" -1.3185 0.54148174133934 0.5027 0.5415
"116" "simpls_ncomp1" -1.3185 0.54148174133934 0.5027 0.5415
"115" "pls_ncomp2" -0.6991 0.63193078756377 0.6667 0.6319
"117" "simpls_ncomp2" -0.6991 0.63193078756377 0.6667 0.6319
"28" "mlp_1" -0.6842 0.648604239323882 0.6721 0.6486
"36" "pcaNNet" -0.6652 0.677660990037803 0.7268 0.6777
"70" "bagFDA_prune2" -0.6637 0.680291651561602 0.6148 0.6803
"51" "svmPoly_d_1_s_0.001" -0.6617 0.683706561069507 0.735 0.6837
"71" "bagFDA_prune4" -0.0251 0.840217473299216 0.8415 0.8402
"54" "svmPoly_d_2_s_0.001" -0.025 0.840335692635679 0.8552 0.8403
"42" "svmRadialCost_C0.1" -0.0126 0.851462651508919 0.8361 0.8515
"33" "avNNet_decay1e04" -0.0017 0.867068824688927 0.9208 0.8671
"57" "svmPoly_d_3_s_0.001" -0.0011 0.868198453503602 0.8962 0.8682
"9" "ctree_c0.01" 0.0005 0.871225620532558 0.9126 0.8712
"10" "ctree_c0.05" 0.0005 0.871225620532558 0.9126 0.8712
"11" "ctree_c0.99" 0.0005 0.871225620532558 0.9126 0.8712
"12" "JRip" 0.0005 0.871225620532558 0.9126 0.8712
"25" "NB" 0.0192 0.900285427047001 0.8251 0.9003
"26" "NB_laplace" 0.0192 0.900285427047001 0.8251 0.9003
"81" "rrf_mtry2" 0.4732 0.935076625202501 0.9399 0.9351
"103" "knn_k2" 0.486 0.935610372090034 0.9372 0.9356
"93" "cforest_mtry64" 0.6617 0.946943599346933 0.9536 0.9469
"94" "cforest_mtry128" 0.6617 0.946943599346933 0.9536 0.9469
"109" "Ibk_k2" 0.663 0.947322638988443 0.9563 0.9473
"27" "rbf" 0.6638 0.947551188734851 0.9399 0.9476
"2" "c5.0_winnow" 0.6653 0.947996599551998 0.9454 0.948
"92" "cforest_mtry32" 0.6663 0.948308383671266 0.9563 0.9483
"91" "cforest_mtry16" 0.6667 0.94841205700411 0.9563 0.9484
"90" "cforest_mtry8" 0.6669 0.948491038011955 0.9645 0.9485
"83" "rrf_mtry8" 0.671 0.949706197291653 0.9372 0.9497
"84" "rrf_mtry16" 0.671 0.949715819731616 0.9344 0.9497
"13" "JRip_Unp" 0.6715 0.949840312967677 0.9262 0.9498
"8" "rpart" 0.676 0.951122301105382 0.9344 0.9511
"120" "gcvEarth_d3" 0.6765 0.951258478790733 0.9481 0.9513
"72" "bagFDA_prune8" 0.6769 0.951374737533071 0.9536 0.9514
"88" "cforest_mtry2" 0.6771 0.951431324411634 0.9536 0.9514
"82" "rrf_mtry4" 0.6782 0.95171123132973 0.9536 0.9517
"89" "cforest_mtry4" 0.6788 0.951866921412271 0.9645 0.9519
"39" "lvq_5" 0.6824 0.952689306110077 0.9372 0.9527
"119" "gcvEarth_d2" 0.6828 0.95276554200623 0.9563 0.9528
"14" "PART" 0.6931 0.954407983564549 0.9454 0.9544
"3" "J48" 0.6944 0.954550297384399 0.9563 0.9546
"4" "J48Unp" 0.6944 0.954550297384399 0.9563 0.9546
"1" "c5.0" 0.6957 0.954678992905032 0.9617 0.9547
"73" "bagFDA_prune16" 0.698 0.954896213603481 0.9645 0.9549
"30" "mlp_5" 0.7111 0.955732625140157 0.9563 0.9557
"87" "rrf_mtry128" 0.7213 0.956181839362764 0.9563 0.9562
"23" "mda_subc4" 0.7269 0.956387194762353 0.9563 0.9564
"108" "Ibk_k1" 0.7306 0.9565184296792 0.9617 0.9565
"69" "treeBag" 0.7314 0.956543791258569 0.959 0.9565
"118" "gcvEarth_d1" 0.7359 0.956689850564734 0.9617 0.9567
"102" "knn_k1" 0.7362 0.956699093079236 0.9563 0.9567
"104" "knn_k3" 0.7689 0.957597398577302 0.9536 0.9576
"38" "lvq_3" 0.7697 0.957615478007979 0.9508 0.9576
"19" "fda_prune9" 0.7881 0.958044152286236 0.9563 0.958
"20" "fda_prune17" 0.8096 0.958510690646964 0.9617 0.9585
"17" "sda_L1.0" 0.8228 0.958783178946434 0.9563 0.9588
"37" "lvq_1" 0.8318 0.95896329783404 0.9536 0.959
"86" "rrf_mtry64" 0.8472 0.959265621248038 0.9617 0.9593
"22" "mda_subc3" 0.8622 0.959548789580955 0.9645 0.9595
"85" "rrf_mtry32" 0.9194 0.960553781699883 0.9645 0.9606
"59" "svmPoly_d_3_s_0.1" 1.1165 0.9632890922538 0.9617 0.9633
"107" "knn_k9" 1.1959 0.964146657231461 0.959 0.9641
"98" "parRF_mtry16" 1.3429 0.968023703959031 0.9727 0.968
"78" "rf_mtry32" 1.343 0.968028957705592 0.9699 0.968
"79" "rf_mtry64" 1.343 0.968028957705592 0.9727 0.968
"80" "rf_mtry128" 1.343 0.968028957705592 0.9699 0.968
"99" "parRF_mtry32" 1.343 0.968028957705592 0.9699 0.968
"100" "parRF_mtry64" 1.343 0.968028957705592 0.9699 0.968
"101" "parRF_mtry128" 1.343 0.968028957705592 0.9699 0.968
"77" "rf_mtry16" 1.3435 0.968058117058817 0.9781 0.9681
"105" "knn_k5" 1.3546 0.968821548479314 0.959 0.9688
"106" "knn_k7" 1.3549 0.968853994402253 0.959 0.9689
"5" "LMT" 1.3553 0.968886231713374 0.9699 0.9689
"6" "LMT_CV" 1.3553 0.968886231713374 0.9699 0.9689
"29" "mlp_3" 1.3553 0.968892413861477 0.9617 0.9689
"7" "LMT_AIC" 1.3561 0.968970699916354 0.9781 0.969
"62" "gbm_1_150" 1.3608 0.969496825945074 0.9699 0.9695
"65" "gbm_2_150" 1.361 0.969522376289753 0.9754 0.9695
"68" "gbm_3_150" 1.3611 0.969531852789482 0.9754 0.9695
"60" "gbm_1_50" 1.3613 0.969555859680108 0.9809 0.9696
"61" "gbm_1_100" 1.3613 0.969555859680108 0.9809 0.9696
"63" "gbm_2_50" 1.3613 0.969555859680108 0.9809 0.9696
"64" "gbm_2_100" 1.3613 0.96955585968013 0.9781 0.9696
"66" "gbm_3_50" 1.3613 0.96955585968013 0.9781 0.9696
"67" "gbm_3_100" 1.3613 0.96955585968013 0.9781 0.9696
"76" "rf_mtry8" 1.3613 0.969555859680117 0.9809 0.9696
"96" "parRF_mtry4" 1.3613 0.969555859680143 0.9836 0.9696
"97" "parRF_mtry8" 1.3613 0.969555859680137 0.9836 0.9696
"31" "mlp_7" 1.3945 0.972167008421412 0.9699 0.9722
"46" "svmLineart_C0.1" 1.4135 0.972382573827462 0.9781 0.9724
"47" "svmLinear_C1" 1.4135 0.972382573827462 0.9754 0.9724
"56" "svmPoly_d_2_s_0.1" 1.4135 0.972382573827462 0.9781 0.9724
"53" "svmPoly_d_1_s_0.1" 1.4226 0.972452771206613 0.9754 0.9725
"75" "rf_mtry4" 1.577 0.973434963864418 0.9836 0.9734
"111" "Ibk_k5" 1.6476 0.975762164198503 0.9672 0.9758
"16" "sda_L0.5" 1.6563 0.975893304593606 0.9645 0.9759
"110" "Ibk_k3" 1.6571 0.975901849406576 0.9699 0.9759
"45" "svmLinear_C0.01" 1.6638 0.97596352971554 0.9672 0.976
"52" "svmPoly_d_1_s_0.01" 1.6638 0.97596352971554 0.9672 0.976
"15" "sda_L0.0" 1.6729 0.976025579538477 0.9754 0.976
"43" "svmRadialCost_C1" 1.6731 0.976027238334498 0.9781 0.976
"55" "svmPoly_d_2_s_0.01" 1.6732 0.976027558761067 0.9727 0.976
"58" "svmPoly_d_3_s_0.01" 1.6732 0.976027558761068 0.9754 0.976
"74" "rf_mtry2" 1.7156 0.976238846637103 0.9891 0.9762
"95" "parRF_mtry2" 1.7156 0.976238846091313 0.9863 0.9762
"32" "mlp_9" 1.7652 0.976459969394364 0.9836 0.9765
