"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"125" "MinorityClass" -1.4569 0.23615520636735 0.0429 0.2362
"127" "PessimalClass" -1.1696 0.229654461215997 0 0.2297
"121" "RandomClass_A" -0.7103 0.354055231265056 0.3399 0.3541
"122" "RandomClass_B" -0.6755 0.378997347578602 0.3663 0.379
"123" "RandomClass_C" -0.6197 0.417646549746481 0.3795 0.4176
"18" "fda_prune2" -0.0946 0.537958844119693 0.4983 0.538
"3" "J48" -0.0557 0.546503335552096 0.5116 0.5465
"4" "J48Unp" -0.0557 0.546503335552096 0.5116 0.5465
"1" "c5.0" -0.0535 0.546960142139631 0.505 0.547
"108" "Ibk_k1" -0.051 0.547487792942308 0.5215 0.5475
"103" "knn_k2" -0.0502 0.547658195706148 0.5413 0.5477
"102" "knn_k1" -0.049 0.547917245820049 0.5281 0.5479
"85" "rrf_mtry32" -0.0259 0.552398324683118 0.5512 0.5524
"84" "rrf_mtry16" -0.0162 0.554114319243281 0.538 0.5541
"31" "mlp_7" -0.0153 0.554274137012437 0.5281 0.5543
"14" "PART" -0.0138 0.554526799430807 0.5281 0.5545
"2" "c5.0_winnow" -0.0135 0.554571142565414 0.5512 0.5546
"9" "ctree_c0.01" -0.0049 0.556018396196228 0.5314 0.556
"10" "ctree_c0.05" -0.0049 0.556018396196228 0.5314 0.556
"87" "rrf_mtry128" 0.0035 0.557400173735245 0.5479 0.5574
"126" "OptimalClass" 0.0059 0.557774362704708 1 0.5578
"22" "mda_subc3" 0.0077 0.558063712511545 0.5809 0.5581
"83" "rrf_mtry8" 0.0118 0.558692618451822 0.5512 0.5587
"86" "rrf_mtry64" 0.0125 0.558795793647522 0.5611 0.5588
"104" "knn_k3" 0.0128 0.558838155254466 0.5941 0.5588
"25" "NB" 0.0155 0.559236847508895 0.5578 0.5592
"26" "NB_laplace" 0.0155 0.559236847508895 0.5578 0.5592
"109" "Ibk_k2" 0.0204 0.559943135789294 0.5974 0.5599
"82" "rrf_mtry4" 0.0213 0.560058109800369 0.5578 0.5601
"30" "mlp_5" 0.0222 0.560181988846501 0.5809 0.5602
"23" "mda_subc4" 0.0231 0.56030256772959 0.571 0.5603
"81" "rrf_mtry2" 0.0239 0.560416911876328 0.5578 0.5604
"59" "svmPoly_d_3_s_0.1" 0.0251 0.560564280316958 0.5809 0.5606
"24" "W_NB" 0.0254 0.560612370668919 0.5809 0.5606
"27" "rbf" 0.0289 0.561050296812305 0.5776 0.5611
"39" "lvq_5" 0.0329 0.561522780312865 0.5578 0.5615
"110" "Ibk_k3" 0.0341 0.56166859218362 0.5578 0.5617
"32" "mlp_9" 0.0384 0.562133265550467 0.5545 0.5621
"21" "mda_subc2" 0.0548 0.563624138189456 0.5842 0.5636
"37" "lvq_1" 0.1119 0.566504819088401 0.5842 0.5665
"8" "rpart" 0.2292 0.569087404467714 0.5677 0.5691
"38" "lvq_3" 0.2639 0.569588262508006 0.571 0.5696
"68" "gbm_3_150" 0.3205 0.570263199864391 0.5875 0.5703
"99" "parRF_mtry32" 0.3736 0.570771707908936 0.5743 0.5708
"111" "Ibk_k5" 0.3779 0.570807807645488 0.5644 0.5708
"36" "pcaNNet" 0.3783 0.570811477734571 0.5512 0.5708
"50" "svmLinear_C8" 0.392 0.570923895099893 0.5875 0.5709
"53" "svmPoly_d_1_s_0.1" 0.4241 0.571166051951703 0.5644 0.5712
"48" "svmLinear_C2" 0.4335 0.571230926499183 0.5842 0.5712
"49" "svmLinear_C4" 0.4483 0.571329881799593 0.5842 0.5713
"100" "parRF_mtry64" 0.4866 0.571568110796064 0.5908 0.5716
"28" "mlp_1" 0.4931 0.571606658863172 0.5875 0.5716
"79" "rf_mtry64" 0.6048 0.572573797668825 0.5875 0.5726
"97" "parRF_mtry8" 0.61 0.572660055077215 0.5875 0.5727
"78" "rf_mtry32" 0.6111 0.57267880913884 0.5842 0.5727
"69" "treeBag" 0.6126 0.572704642095296 0.5611 0.5727
"67" "gbm_3_100" 0.619 0.572823780747442 0.5743 0.5728
"98" "parRF_mtry16" 0.6192 0.572827871826936 0.5842 0.5728
"101" "parRF_mtry128" 0.621 0.572861851888298 0.604 0.5729
"47" "svmLinear_C1" 0.628 0.573007505514804 0.5875 0.573
"80" "rf_mtry128" 0.6326 0.573110700006453 0.5908 0.5731
"76" "rf_mtry8" 0.634 0.573143456318841 0.5908 0.5731
"77" "rf_mtry16" 0.6386 0.573252397869236 0.5842 0.5733
"15" "sda_L0.0" 0.6394 0.573272859906751 0.5908 0.5733
"17" "sda_L1.0" 0.6454 0.573423516554697 0.5743 0.5734
"29" "mlp_3" 0.6532 0.573630048606667 0.5743 0.5736
"16" "sda_L0.5" 0.6539 0.573648888356197 0.5809 0.5736
"11" "ctree_c0.99" 0.6633 0.57391277165474 0.5578 0.5739
"12" "JRip" 0.6633 0.57391277165474 0.5578 0.5739
"7" "LMT_AIC" 0.6679 0.574043640623176 0.5941 0.574
"5" "LMT" 0.6743 0.574229960263664 0.571 0.5742
"6" "LMT_CV" 0.6743 0.574229960263664 0.571 0.5742
"64" "gbm_2_100" 0.707 0.575107623801125 0.5908 0.5751
"13" "JRip_Unp" 0.7091 0.57515561282484 0.5347 0.5752
"112" "Ibk_k7" 0.7148 0.575284589219046 0.5677 0.5753
"105" "knn_k5" 0.7199 0.575389271560613 0.5908 0.5754
"19" "fda_prune9" 0.7224 0.575438510231737 0.5842 0.5754
"20" "fda_prune17" 0.7224 0.575438510231737 0.5842 0.5754
"62" "gbm_1_150" 0.7425 0.575770076155923 0.5974 0.5758
"65" "gbm_2_150" 0.7465 0.575821686025052 0.5776 0.5758
"63" "gbm_2_50" 0.7483 0.57584441172537 0.6073 0.5758
"107" "knn_k9" 0.7816 0.576132091942342 0.6007 0.5761
"61" "gbm_1_100" 0.7887 0.576168606010722 0.604 0.5762
"120" "gcvEarth_d3" 0.7917 0.576182094366815 0.571 0.5762
"66" "gbm_3_50" 0.8138 0.576251679700724 0.5875 0.5763
"106" "knn_k7" 0.8363 0.576284101681136 0.604 0.5763
"44" "svmRadialCost_C2" 0.852 0.576291304269525 0.5941 0.5763
"119" "gcvEarth_d2" 0.8762 0.576285910078976 0.571 0.5763
"34" "avNNet_decay01" 0.8869 0.576278817056141 0.5743 0.5763
"113" "Ibk_k9" 0.9032 0.576263708263518 0.571 0.5763
"73" "bagFDA_prune16" 0.9553 0.576191286228181 0.5941 0.5762
"96" "parRF_mtry4" 1.1782 0.575950408046596 0.5974 0.576
"46" "svmLineart_C0.1" 1.2919 0.577064346926488 0.5941 0.5771
"56" "svmPoly_d_2_s_0.1" 1.2919 0.577064346926488 0.5941 0.5771
"75" "rf_mtry4" 1.2978 0.577190219569416 0.5941 0.5772
"95" "parRF_mtry2" 1.3599 0.57885712398152 0.5842 0.5789
"60" "gbm_1_50" 1.3657 0.579016998220542 0.6073 0.579
"40" "SMV" 1.4022 0.579871420655808 0.5875 0.5799
"118" "gcvEarth_d1" 1.4693 0.580656131836039 0.5908 0.5807
"33" "avNNet_decay1e04" 1.4733 0.580678868269532 0.5545 0.5807
"74" "rf_mtry2" 1.5595 0.580849560906633 0.5809 0.5808
"43" "svmRadialCost_C1" 1.5736 0.580841317646091 0.604 0.5808
"55" "svmPoly_d_2_s_0.01" 1.6994 0.580640851518366 0.5743 0.5806
