"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"11" "ctree_c0.99" -1.5646 0.406910127183367 0.4062 0.4069
"12" "JRip" -1.5646 0.406910127183367 0.4062 0.4069
"41" "svmRadialCost_C0.01" -1.5646 0.406910127183367 0.4062 0.4069
"42" "svmRadialCost_C0.1" -1.5646 0.406910127183367 0.4062 0.4069
"51" "svmPoly_d_1_s_0.001" -1.5646 0.406910127183367 0.4062 0.4069
"54" "svmPoly_d_2_s_0.001" -1.5646 0.406910127183367 0.4062 0.4069
"57" "svmPoly_d_3_s_0.001" -1.5646 0.406910127183367 0.4062 0.4069
"88" "cforest_mtry2" -1.5646 0.406910127183367 0.4062 0.4069
"124" "MajorityClass" -1.5646 0.406910127183367 0.4062 0.4069
"43" "svmRadialCost_C1" -1.5355 0.406567100897496 0.4688 0.4066
"89" "cforest_mtry4" -1.5168 0.406023998487827 0.4688 0.406
"91" "cforest_mtry16" -1.3242 0.338391754967414 0.4375 0.3384
"2" "c5.0_winnow" -1.2106 0.303274655059136 0.4062 0.3033
"21" "mda_subc2" -0.766 0.217120251438191 0 0.2171
"22" "mda_subc3" -0.766 0.217120251438191 0 0.2171
"23" "mda_subc4" -0.766 0.217120251438191 0 0.2171
"60" "gbm_1_50" -0.766 0.217120251438191 0 0.2171
"61" "gbm_1_100" -0.766 0.217120251438191 0 0.2171
"62" "gbm_1_150" -0.766 0.217120251438191 0 0.2171
"63" "gbm_2_50" -0.766 0.217120251438191 0 0.2171
"64" "gbm_2_100" -0.766 0.217120251438191 0 0.2171
"65" "gbm_2_150" -0.766 0.217120251438191 0 0.2171
"66" "gbm_3_50" -0.766 0.217120251438191 0 0.2171
"67" "gbm_3_100" -0.766 0.217120251438191 0 0.2171
"68" "gbm_3_150" -0.766 0.217120251438191 0 0.2171
"127" "PessimalClass" -0.766 0.217120251438191 0 0.2171
"45" "svmLinear_C0.01" -0.5812 0.229871090771826 0.4688 0.2299
"52" "svmPoly_d_1_s_0.01" -0.5812 0.229871090771826 0.4688 0.2299
"121" "RandomClass_A" -0.5376 0.233833156693925 0.25 0.2338
"90" "cforest_mtry8" -0.4182 0.246459031858665 0.5 0.2465
"92" "cforest_mtry32" -0.1539 0.293055106169664 0.4688 0.2931
"93" "cforest_mtry64" -0.1253 0.302045610010096 0.4688 0.302
"94" "cforest_mtry128" -0.1253 0.302045610001991 0.5 0.302
"114" "pls_ncomp1" -0.1086 0.307908357284548 0.4375 0.3079
"116" "simpls_ncomp1" -0.1086 0.307908357284548 0.4375 0.3079
"59" "svmPoly_d_3_s_0.1" -0.1083 0.308020792401185 0.4062 0.308
"28" "mlp_1" -0.0844 0.317442796966532 0.375 0.3174
"119" "gcvEarth_d2" -0.0833 0.31792130537734 0.4688 0.3179
"120" "gcvEarth_d3" -0.0833 0.31792130537734 0.4688 0.3179
"122" "RandomClass_B" -0.0448 0.338207692056126 0.4062 0.3382
"104" "knn_k3" -0.0408 0.340874042056935 0.375 0.3409
"95" "parRF_mtry2" -0.0399 0.341541147895539 0.4375 0.3415
"123" "RandomClass_C" 0.0017 0.372840017596895 0.5 0.3728
"113" "Ibk_k9" 0.0081 0.376747882397644 0.4688 0.3767
"70" "bagFDA_prune2" 0.0091 0.377360608415019 0.3438 0.3774
