"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"127" "PessimalClass" -3.3862 0.185895407384848 0 0.1859
"125" "MinorityClass" -2.8417 0.209314299625246 0.3333 0.2093
"124" "MajorityClass" -2.2096 0.317586784149276 0.3333 0.3176
"121" "RandomClass_A" -2.1475 0.338340424917526 0.3571 0.3383
"123" "RandomClass_C" -2.1212 0.347834698732201 0.3667 0.3478
"122" "RandomClass_B" -1.997 0.397823078181661 0.3524 0.3978
"114" "pls_ncomp1" -1.2114 0.720326578805297 0.6667 0.7203
"116" "simpls_ncomp1" -1.2114 0.720326578805297 0.6667 0.7203
"18" "fda_prune2" -1.1782 0.729108030170464 0.7619 0.7291
"28" "mlp_1" -0.7326 0.824307801443715 0.8238 0.8243
"2" "c5.0_winnow" -0.2219 0.891185470559969 0.8905 0.8912
"8" "rpart" -0.1751 0.894394896172917 0.8952 0.8944
"9" "ctree_c0.01" -0.1244 0.897620626179829 0.9 0.8976
"10" "ctree_c0.05" -0.1244 0.897620626179829 0.9 0.8976
"11" "ctree_c0.99" -0.1244 0.897620626179829 0.9 0.8976
"12" "JRip" -0.1244 0.897620626179829 0.9 0.8976
"88" "cforest_mtry2" -0.1024 0.898965643884995 0.8857 0.899
"103" "knn_k2" -0.0526 0.901926223356636 0.9238 0.9019
"14" "PART" -0.0136 0.90418121452606 0.9048 0.9042
"82" "rrf_mtry4" -0.0031 0.904781627463919 0.919 0.9048
"86" "rrf_mtry64" 0.0002 0.904966135778712 0.9286 0.905
"87" "rrf_mtry128" 0.0002 0.904966135778712 0.9286 0.905
"83" "rrf_mtry8" 0.0107 0.905557726147011 0.9286 0.9056
"84" "rrf_mtry16" 0.0107 0.905557726147011 0.9286 0.9056
"85" "rrf_mtry32" 0.0242 0.906319712807053 0.9238 0.9063
"24" "W_NB" 0.0349 0.906913995678503 0.8905 0.9069
"25" "NB" 0.0349 0.906913995678503 0.8905 0.9069
"26" "NB_laplace" 0.0349 0.906913995678503 0.8905 0.9069
"109" "Ibk_k2" 0.0379 0.907079928290477 0.9143 0.9071
"13" "JRip_Unp" 0.0606 0.908327642152308 0.9 0.9083
"70" "bagFDA_prune2" 0.0621 0.908409476783065 0.9048 0.9084
"115" "pls_ncomp2" 0.07 0.908838310144004 0.9048 0.9088
"117" "simpls_ncomp2" 0.07 0.908838310144004 0.9048 0.9088
"102" "knn_k1" 0.113 0.911113029396673 0.919 0.9111
"17" "sda_L1.0" 0.1132 0.911120264243143 0.9 0.9111
"91" "cforest_mtry16" 0.1136 0.911142019738338 0.919 0.9111
"92" "cforest_mtry32" 0.1136 0.911142019738338 0.919 0.9111
"93" "cforest_mtry64" 0.1136 0.911142019738338 0.919 0.9111
"94" "cforest_mtry128" 0.1136 0.911142019738338 0.919 0.9111
"108" "Ibk_k1" 0.1283 0.911892115709802 0.9238 0.9119
"3" "J48" 0.1588 0.913398647901827 0.9143 0.9134
"4" "J48Unp" 0.1588 0.913398647901827 0.9143 0.9134
"1" "c5.0" 0.1704 0.913953353162102 0.9095 0.914
"89" "cforest_mtry4" 0.178 0.914311893274991 0.9048 0.9143
"90" "cforest_mtry8" 0.2469 0.917326992838332 0.9238 0.9173
"118" "gcvEarth_d1" 0.288 0.918931814933066 0.9381 0.9189
"71" "bagFDA_prune4" 0.3204 0.920099913577406 0.9238 0.9201
"51" "svmPoly_d_1_s_0.001" 0.3857 0.922245962737102 0.9095 0.9222
"63" "gbm_2_50" 0.3906 0.922394373675206 0.9143 0.9224
"105" "knn_k5" 0.4248 0.923419543057758 0.919 0.9234
"37" "lvq_1" 0.4316 0.923617412040352 0.9048 0.9236
"104" "knn_k3" 0.4452 0.924008846306829 0.9143 0.924
"110" "Ibk_k3" 0.4595 0.924412794303903 0.9238 0.9244
"57" "svmPoly_d_3_s_0.001" 0.4881 0.925202934595506 0.919 0.9252
"74" "rf_mtry2" 0.4887 0.925218775042403 0.9333 0.9252
"95" "parRF_mtry2" 0.4987 0.925490380470454 0.9333 0.9255
"68" "gbm_3_150" 0.5194 0.926042875034541 0.919 0.926
"120" "gcvEarth_d3" 0.5446 0.926696784603067 0.9381 0.9267
"65" "gbm_2_150" 0.5566 0.927001072831673 0.9286 0.927
"81" "rrf_mtry2" 0.5619 0.92713681111344 0.9381 0.9271
"27" "rbf" 0.5699 0.927335567579583 0.9143 0.9273
"64" "gbm_2_100" 0.5762 0.927492440010349 0.919 0.9275
"36" "pcaNNet" 0.5773 0.927519431655939 0.9238 0.9275
"62" "gbm_1_150" 0.5937 0.927918889328131 0.9238 0.9279
"67" "gbm_3_100" 0.6181 0.928502243628602 0.9286 0.9285
"66" "gbm_3_50" 0.6447 0.929117423673123 0.9381 0.9291
"60" "gbm_1_50" 0.6565 0.929385768866436 0.9286 0.9294
"61" "gbm_1_100" 0.6614 0.929496025771522 0.9429 0.9295
"99" "parRF_mtry32" 0.6674 0.929629042412075 0.9333 0.9296
"112" "Ibk_k7" 0.6765 0.929832430341538 0.919 0.9298
"113" "Ibk_k9" 0.683 0.929974257557309 0.919 0.93
"107" "knn_k9" 0.6908 0.930144448770534 0.919 0.9301
"111" "Ibk_k5" 0.6982 0.930306691424058 0.9333 0.9303
"96" "parRF_mtry4" 0.6987 0.930315471356045 0.9381 0.9303
"23" "mda_subc4" 0.7067 0.930488880187601 0.9381 0.9305
"75" "rf_mtry4" 0.7092 0.930541740472882 0.9333 0.9305
"39" "lvq_5" 0.7232 0.930839020490853 0.9381 0.9308
"119" "gcvEarth_d2" 0.7409 0.931206562595653 0.9476 0.9312
"22" "mda_subc3" 0.802 0.932397006347447 0.9429 0.9324
"7" "LMT_AIC" 0.8433 0.933112427332267 0.9143 0.9331
"50" "svmLinear_C8" 0.8759 0.933612362382652 0.9429 0.9336
"126" "OptimalClass" 0.884 0.933727143046124 1 0.9337
"6" "LMT_CV" 0.8853 0.933746380047197 0.9333 0.9337
"38" "lvq_3" 0.8859 0.933754366843504 0.9429 0.9338
"21" "mda_subc2" 0.8994 0.933937294549133 0.9476 0.9339
"15" "sda_L0.0" 0.9076 0.93404294778783 0.9619 0.934
"20" "fda_prune17" 0.9208 0.93420690070473 0.9571 0.9342
"19" "fda_prune9" 0.9214 0.934213880357684 0.9524 0.9342
"29" "mlp_3" 0.9709 0.934750265859872 0.9238 0.9348
"54" "svmPoly_d_2_s_0.001" 0.9795 0.934831559082815 0.919 0.9348
"43" "svmRadialCost_C1" 0.9834 0.93486811391116 0.9286 0.9349
"35" "avNNet_decay0" 0.99 0.934927858208155 0.9476 0.9349
"5" "LMT" 1.0246 0.935217353771718 0.9238 0.9352
"49" "svmLinear_C4" 1.0286 0.935248192306718 0.9333 0.9352
"41" "svmRadialCost_C0.01" 1.0343 0.935291316816935 0.919 0.9353
"47" "svmLinear_C1" 1.0481 0.935392454300464 0.9286 0.9354
"45" "svmLinear_C0.01" 1.1068 0.935770400039135 0.9143 0.9358
"52" "svmPoly_d_1_s_0.01" 1.1068 0.935770400039135 0.9143 0.9358
"76" "rf_mtry8" 1.1233 0.935864313519858 0.9333 0.9359
"79" "rf_mtry64" 1.1233 0.935864313519858 0.9333 0.9359
"97" "parRF_mtry8" 1.1233 0.935864313519858 0.9333 0.9359
"101" "parRF_mtry128" 1.1233 0.935864313519858 0.9333 0.9359
"106" "knn_k7" 1.125 0.935873501701955 0.9238 0.9359
"69" "treeBag" 1.136 0.935933371640369 0.9333 0.9359
