"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"125" "MinorityClass" -3.5752 0.189792632508989 0.1935 0.1898
"127" "PessimalClass" -3.2457 0.196468091422633 0 0.1965
"123" "RandomClass_C" -2.1137 0.370657096391227 0.3903 0.3707
"121" "RandomClass_A" -2.1128 0.370964651950422 0.4129 0.371
"122" "RandomClass_B" -2.046 0.393943984307728 0.4129 0.3939
"15" "sda_L0.0" -1.9409 0.431081496983956 0.4742 0.4311
"41" "svmRadialCost_C0.01" -1.3636 0.570733726579079 0.4839 0.5707
"51" "svmPoly_d_1_s_0.001" -1.3636 0.570733726579079 0.4839 0.5707
"124" "MajorityClass" -1.3636 0.570733726579079 0.4839 0.5707
"54" "svmPoly_d_2_s_0.001" -1.1287 0.601556008178331 0.5903 0.6016
"114" "pls_ncomp1" -0.6109 0.673048768127328 0.6871 0.673
"116" "simpls_ncomp1" -0.6109 0.673048768127328 0.6871 0.673
"57" "svmPoly_d_3_s_0.001" -0.5222 0.68190924508254 0.6935 0.6819
"45" "svmLinear_C0.01" -0.1842 0.720788596966247 0.729 0.7208
"52" "svmPoly_d_1_s_0.01" -0.1842 0.720788596966247 0.729 0.7208
"18" "fda_prune2" -0.1575 0.724379307936306 0.7548 0.7244
"28" "mlp_1" -0.1395 0.726921146661529 0.771 0.7269
"70" "bagFDA_prune2" -0.1327 0.727909632053591 0.7774 0.7279
"42" "svmRadialCost_C0.1" -0.1125 0.730924399947391 0.7355 0.7309
"81" "rrf_mtry2" -0.0796 0.736040951698134 0.7484 0.736
"108" "Ibk_k1" -0.0188 0.745552272101273 0.771 0.7456
"109" "Ibk_k2" -0.0004 0.748205115913402 0.7065 0.7482
"115" "pls_ncomp2" 0.0085 0.749429994890781 0.7581 0.7494
"117" "simpls_ncomp2" 0.0085 0.749429994890781 0.7581 0.7494
"102" "knn_k1" 0.0141 0.75017020697304 0.7871 0.7502
"40" "SMV" 0.0167 0.750504575752445 0.7419 0.7505
"103" "knn_k2" 0.0209 0.751047707759823 0.8065 0.751
"36" "pcaNNet" 0.0733 0.757019091503794 0.8 0.757
"111" "Ibk_k5" 0.0739 0.757089463823593 0.7452 0.7571
"112" "Ibk_k7" 0.0856 0.758253129600583 0.7516 0.7583
"110" "Ibk_k3" 0.0922 0.758892826156263 0.7548 0.7589
"113" "Ibk_k9" 0.0994 0.759580201215069 0.7516 0.7596
"55" "svmPoly_d_2_s_0.01" 0.1139 0.76092897683139 0.7581 0.7609
"17" "sda_L1.0" 0.1595 0.76494671902218 0.7613 0.7649
"105" "knn_k5" 0.161 0.765076030863566 0.7806 0.7651
"37" "lvq_1" 0.1642 0.765346615539329 0.7871 0.7653
"39" "lvq_5" 0.1642 0.765354609210089 0.7645 0.7654
"104" "knn_k3" 0.1701 0.765862062948813 0.7774 0.7659
"107" "knn_k9" 0.1826 0.766935809045727 0.7935 0.7669
"106" "knn_k7" 0.1951 0.768015666957257 0.7871 0.768
"38" "lvq_3" 0.242 0.772184268859063 0.7774 0.7722
"16" "sda_L0.5" 0.2534 0.77322662385839 0.7968 0.7732
"27" "rbf" 0.371 0.783517679465511 0.8194 0.7835
"58" "svmPoly_d_3_s_0.01" 0.47 0.792202048334449 0.7935 0.7922
"22" "mda_subc3" 0.5341 0.798584988484586 0.8226 0.7986
"21" "mda_subc2" 0.5441 0.799649950825204 0.8161 0.7996
"23" "mda_subc4" 0.5573 0.801081413113426 0.8 0.8011
"13" "JRip_Unp" 0.5781 0.803387924312362 0.7742 0.8034
"43" "svmRadialCost_C1" 0.6188 0.80796748694848 0.8355 0.808
"46" "svmLineart_C0.1" 0.6633 0.812819767651582 0.8452 0.8128
