"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"127" "PessimalClass" -3.9546 0.12925607750403 0 0.1293
"122" "RandomClass_B" -2.1092 0.290290745081511 0.3539 0.2903
"121" "RandomClass_A" -2.0734 0.31897940165615 0.3539 0.319
"123" "RandomClass_C" -2.0646 0.327070408645407 0.3596 0.3271
"41" "svmRadialCost_C0.01" -2.0355 0.355987912990206 0.3989 0.356
"124" "MajorityClass" -2.0355 0.355987912990206 0.3989 0.356
"51" "svmPoly_d_1_s_0.001" -2.0334 0.358207200965537 0.4157 0.3582
"125" "MinorityClass" -1.9993 0.394469291212102 0.2697 0.3945
"18" "fda_prune2" -1.5151 0.557700648553643 0.6011 0.5577
"28" "mlp_1" -1.2517 0.725736435840262 0.7865 0.7257
"114" "pls_ncomp1" -0.9521 0.847416200520064 0.7584 0.8474
"116" "simpls_ncomp1" -0.9521 0.847416200520064 0.7584 0.8474
"54" "svmPoly_d_2_s_0.001" -0.9151 0.853334183093087 0.882 0.8533
"70" "bagFDA_prune2" -0.7756 0.8661981020633 0.8764 0.8662
"9" "ctree_c0.01" -0.6894 0.87551846801674 0.8764 0.8755
"10" "ctree_c0.05" -0.6894 0.87551846801674 0.8764 0.8755
"11" "ctree_c0.99" -0.6894 0.87551846801674 0.8764 0.8755
"12" "JRip" -0.6894 0.87551846801674 0.8764 0.8755
"8" "rpart" -0.6601 0.881700291426087 0.8933 0.8817
"71" "bagFDA_prune4" -0.2619 0.914536970257211 0.927 0.9145
"14" "PART" -0.1887 0.917116931086062 0.927 0.9171
"3" "J48" -0.0337 0.924994705781715 0.9382 0.925
"4" "J48Unp" -0.0337 0.924994705781715 0.9382 0.925
"83" "rrf_mtry8" -0.0269 0.925864520068884 0.9494 0.9259
"84" "rrf_mtry16" -0.001 0.929207555660943 0.9438 0.9292
"85" "rrf_mtry32" -0.001 0.929207555660943 0.9438 0.9292
"86" "rrf_mtry64" -0.001 0.929207555660943 0.9438 0.9292
"87" "rrf_mtry128" -0.001 0.929207555660943 0.9438 0.9292
"94" "cforest_mtry128" 0.0131 0.931311647862145 0.9326 0.9313
"91" "cforest_mtry16" 0.0134 0.931369708201528 0.9438 0.9314
"92" "cforest_mtry32" 0.0134 0.931369708201528 0.9438 0.9314
"93" "cforest_mtry64" 0.0134 0.931369708201528 0.9438 0.9314
"2" "c5.0_winnow" 0.0256 0.933653360756839 0.927 0.9337
"1" "c5.0" 0.026 0.933742932703674 0.9213 0.9337
"13" "JRip_Unp" 0.031 0.934773486322717 0.9326 0.9348
"90" "cforest_mtry8" 0.0409 0.936823402257839 0.9551 0.9368
"119" "gcvEarth_d2" 0.2733 0.952240537427975 0.9494 0.9522
"69" "treeBag" 0.2933 0.952967451315864 0.9663 0.953
"103" "knn_k2" 0.3155 0.953466402987 0.9494 0.9535
"113" "Ibk_k9" 0.3352 0.953830251856833 0.9494 0.9538
"105" "knn_k5" 0.3445 0.953990893626494 0.9551 0.954
"42" "svmRadialCost_C0.1" 0.3867 0.954673126391991 0.9719 0.9547
"102" "knn_k1" 0.4319 0.955343227146157 0.9551 0.9553
"108" "Ibk_k1" 0.4319 0.955342760660368 0.9494 0.9553
"82" "rrf_mtry4" 0.5562 0.957015254222975 0.9663 0.957
"77" "rf_mtry16" 0.5694 0.957232431161774 0.9663 0.9572
"79" "rf_mtry64" 0.5694 0.957232431161774 0.9663 0.9572
"80" "rf_mtry128" 0.5694 0.957232431161774 0.9663 0.9572
"98" "parRF_mtry16" 0.5694 0.957232431161774 0.9663 0.9572
"81" "rrf_mtry2" 0.5717 0.957275135493349 0.9719 0.9573
"17" "sda_L1.0" 0.6408 0.960403959465859 0.9607 0.9604
"76" "rf_mtry8" 0.6427 0.960591498645794 0.9719 0.9606
"78" "rf_mtry32" 0.6427 0.960591498645794 0.9719 0.9606
"97" "parRF_mtry8" 0.6427 0.960591498645794 0.9719 0.9606
"99" "parRF_mtry32" 0.6427 0.960591498645794 0.9719 0.9606
"100" "parRF_mtry64" 0.6427 0.960591498645794 0.9719 0.9606
"101" "parRF_mtry128" 0.6427 0.960591498645794 0.9719 0.9606
"24" "W_NB" 0.6583 0.962555005902329 0.9719 0.9626
"25" "NB" 0.6583 0.962555005902329 0.9719 0.9626
"26" "NB_laplace" 0.6583 0.962555005902329 0.9719 0.9626
"39" "lvq_5" 0.6598 0.962800063511017 0.9607 0.9628
"96" "parRF_mtry4" 0.6787 0.966290181848064 0.9719 0.9663
"20" "fda_prune17" 0.6971 0.969838408126511 0.9775 0.9698
"21" "mda_subc2" 0.6974 0.969884165672189 0.9775 0.9699
"65" "gbm_2_150" 0.6977 0.969940950602239 0.9719 0.9699
"66" "gbm_3_50" 0.6982 0.9700318953154 0.9775 0.97
"68" "gbm_3_150" 0.6982 0.9700318953154 0.9775 0.97
"72" "bagFDA_prune8" 0.7013 0.970547352383897 0.9775 0.9705
"57" "svmPoly_d_3_s_0.001" 0.7023 0.970699355131009 0.9607 0.9707
"5" "LMT" 0.7025 0.97074278479397 0.9607 0.9707
"6" "LMT_CV" 0.7025 0.97074278479397 0.9607 0.9707
"89" "cforest_mtry4" 0.7029 0.970804759471289 0.9719 0.9708
"73" "bagFDA_prune16" 0.7032 0.97084462536502 0.9831 0.9708
"64" "gbm_2_100" 0.7033 0.970856338948051 0.9719 0.9709
"63" "gbm_2_50" 0.7035 0.970896939015299 0.9719 0.9709
"7" "LMT_AIC" 0.7038 0.970943884729537 0.9831 0.9709
"75" "rf_mtry4" 0.7038 0.970943884729537 0.9831 0.9709
"120" "gcvEarth_d3" 0.7465 0.97501118654354 0.9551 0.975
"109" "Ibk_k2" 0.7585 0.975491988699052 0.9438 0.9755
"19" "fda_prune9" 0.7754 0.975929788153507 0.9719 0.9759
"106" "knn_k7" 0.7825 0.97606254564715 0.9607 0.9761
"38" "lvq_3" 0.786 0.976119034143119 0.9607 0.9761
"112" "Ibk_k7" 0.7876 0.976144191513729 0.9607 0.9761
"37" "lvq_1" 0.7889 0.976164425754424 0.9607 0.9762
"107" "knn_k9" 0.791 0.976194412367431 0.9719 0.9762
"59" "svmPoly_d_3_s_0.1" 0.7949 0.976247989057548 0.9663 0.9762
"53" "svmPoly_d_1_s_0.1" 0.7968 0.97627305505954 0.9607 0.9763
"62" "gbm_1_150" 0.8025 0.976341557998829 0.9719 0.9763
"104" "knn_k3" 0.8102 0.976426612918578 0.9663 0.9764
"110" "Ibk_k3" 0.8102 0.976426612918578 0.9663 0.9764
"115" "pls_ncomp2" 0.814 0.976465896906532 0.9775 0.9765
"117" "simpls_ncomp2" 0.814 0.976465896906532 0.9775 0.9765
"88" "cforest_mtry2" 0.8195 0.976519986503868 0.9775 0.9765
"111" "Ibk_k5" 0.8236 0.976558210176459 0.9663 0.9766
"45" "svmLinear_C0.01" 0.8254 0.976574934730544 0.9775 0.9766
"52" "svmPoly_d_1_s_0.01" 0.8254 0.976574934730544 0.9775 0.9766
"118" "gcvEarth_d1" 0.8261 0.976581178260761 0.9888 0.9766
"27" "rbf" 0.8371 0.976676999856622 0.9663 0.9767
"60" "gbm_1_50" 0.8513 0.976791998825371 0.9831 0.9768
"61" "gbm_1_100" 0.8665 0.97690916734001 0.9775 0.9769
"40" "SMV" 0.8757 0.97697801502788 0.9775 0.977
"55" "svmPoly_d_2_s_0.01" 1.0439 0.978087568983384 0.9775 0.9781
"74" "rf_mtry2" 1.1547 0.978711039774979 0.9888 0.9787
"95" "parRF_mtry2" 1.1547 0.978711039774979 0.9888 0.9787
"16" "sda_L0.5" 1.1932 0.978911441795931 0.9831 0.9789
"67" "gbm_3_100" 1.1932 0.978911441795931 0.9831 0.9789
"36" "pcaNNet" 1.4318 0.984542697874903 0.9719 0.9845
"15" "sda_L0.0" 1.4384 0.984647651900594 0.9888 0.9846
"22" "mda_subc3" 1.44 0.98466835178507 0.9888 0.9847
"46" "svmLineart_C0.1" 1.441 0.984680923568551 0.9888 0.9847
"56" "svmPoly_d_2_s_0.1" 1.441 0.984680923568551 0.9888 0.9847
"43" "svmRadialCost_C1" 1.4429 0.98470244010918 0.9831 0.9847
"44" "svmRadialCost_C2" 1.4429 0.98470244010918 0.9831 0.9847
"47" "svmLinear_C1" 1.443 0.984703805884923 0.9775 0.9847
"48" "svmLinear_C2" 1.443 0.984703805884923 0.9775 0.9847
"49" "svmLinear_C4" 1.443 0.984703805884923 0.9775 0.9847
"50" "svmLinear_C8" 1.443 0.984703805884923 0.9775 0.9847
"31" "mlp_7" 1.4447 0.984720979321811 0.9888 0.9847
"32" "mlp_9" 1.4457 0.984730781468209 0.9831 0.9847
"58" "svmPoly_d_3_s_0.01" 1.4459 0.984733044579654 0.9888 0.9847
"34" "avNNet_decay01" 1.4471 0.984744291748923 0.9831 0.9847
"23" "mda_subc4" 1.4475 0.984747480357359 0.9888 0.9847
"29" "mlp_3" 1.4483 0.984755018964326 0.9775 0.9848
"35" "avNNet_decay0" 1.4483 0.984755018964326 0.9775 0.9848
"126" "OptimalClass" 1.4497 0.984767156865577 1 0.9848
"30" "mlp_5" 1.451 0.98477686938504 0.9888 0.9848
"33" "avNNet_decay1e04" 1.4512 0.984779010189772 0.9944 0.9848
