"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"125" "MinorityClass" -1.8543 0.050680020993705 0.2143 0.0507
"127" "PessimalClass" -1.8543 0.0506800209959776 0 0.0507
"122" "RandomClass_B" -0.679 0.66725066758858 0.6786 0.6673
"121" "RandomClass_A" -0.6788 0.667661823794581 0.6786 0.6677
"123" "RandomClass_C" -0.6757 0.674240206243908 0.6964 0.6742
"24" "W_NB" -0.4716 0.819210441709612 0.9643 0.8192
"27" "rbf" -0.3633 0.821852587458582 0.9464 0.8219
"114" "pls_ncomp1" -0.3633 0.821852584759538 0.9643 0.8219
"116" "simpls_ncomp1" -0.3633 0.821852584759538 0.9643 0.8219
"37" "lvq_1" -0.3083 0.822514878129738 0.9643 0.8225
"41" "svmRadialCost_C0.01" 0.1463 0.826382352055458 0.7857 0.8264
"42" "svmRadialCost_C0.1" 0.1463 0.826382352055458 0.7857 0.8264
"51" "svmPoly_d_1_s_0.001" 0.1463 0.826382352055458 0.7857 0.8264
"54" "svmPoly_d_2_s_0.001" 0.1463 0.826382352055458 0.7857 0.8264
"57" "svmPoly_d_3_s_0.001" 0.1463 0.826382352055458 0.7857 0.8264
"124" "MajorityClass" 0.1463 0.826382352055458 0.7857 0.8264
"88" "cforest_mtry2" 0.1464 0.826383020482249 0.8214 0.8264
"35" "avNNet_decay0" 0.1485 0.826404738472175 0.8304 0.8264
"89" "cforest_mtry4" 0.358 0.889007886455146 0.9286 0.889
"44" "svmRadialCost_C2" 0.5748 0.925795214071966 0.9375 0.9258
"107" "knn_k9" 0.6296 0.944736324694242 0.9464 0.9447
"105" "knn_k5" 0.6677 0.961717410795888 0.9643 0.9617
"106" "knn_k7" 0.6677 0.961717410795888 0.9643 0.9617
"104" "knn_k3" 0.6711 0.965521779803619 0.9732 0.9655
"45" "svmLinear_C0.01" 0.6723 0.966970373732875 0.9732 0.967
"52" "svmPoly_d_1_s_0.01" 0.6723 0.966970373732875 0.9732 0.967
"103" "knn_k2" 0.6728 0.967623187949545 0.9821 0.9676
"43" "svmRadialCost_C1" 0.6756 0.97101602455817 0.9554 0.971
"38" "lvq_3" 0.6761 0.971703736147669 0.9643 0.9717
"102" "knn_k1" 0.6772 0.972991920418573 0.9732 0.973
"39" "lvq_5" 0.6779 0.973927170581013 0.9821 0.9739
"25" "NB" 0.6865 0.983719266911008 0.9911 0.9837
"26" "NB_laplace" 0.6865 0.983719266911008 0.9911 0.9837
"63" "gbm_2_50" 0.7003 0.991562890983566 0.9911 0.9916
"1" "c5.0" 0.8514 0.9991391142072 1 0.9991
"2" "c5.0_winnow" 0.8514 0.9991391142072 1 0.9991
"3" "J48" 0.8514 0.9991391142072 1 0.9991
"4" "J48Unp" 0.8514 0.9991391142072 1 0.9991
"5" "LMT" 0.8514 0.9991391142072 1 0.9991
"6" "LMT_CV" 0.8514 0.9991391142072 1 0.9991
"7" "LMT_AIC" 0.8514 0.9991391142072 1 0.9991
"8" "rpart" 0.8514 0.9991391142072 1 0.9991
"9" "ctree_c0.01" 0.8514 0.9991391142072 1 0.9991
"10" "ctree_c0.05" 0.8514 0.9991391142072 1 0.9991
"11" "ctree_c0.99" 0.8514 0.9991391142072 1 0.9991
"12" "JRip" 0.8514 0.9991391142072 1 0.9991
"13" "JRip_Unp" 0.8514 0.9991391142072 1 0.9991
"14" "PART" 0.8514 0.9991391142072 1 0.9991
"15" "sda_L0.0" 0.8514 0.9991391142072 1 0.9991
"16" "sda_L0.5" 0.8514 0.9991391142072 1 0.9991
"17" "sda_L1.0" 0.8514 0.9991391142072 1 0.9991
"18" "fda_prune2" 0.8514 0.9991391142072 1 0.9991
"19" "fda_prune9" 0.8514 0.9991391142072 1 0.9991
"20" "fda_prune17" 0.8514 0.9991391142072 1 0.9991
"21" "mda_subc2" 0.8514 0.9991391142072 1 0.9991
"22" "mda_subc3" 0.8514 0.9991391142072 1 0.9991
"23" "mda_subc4" 0.8514 0.9991391142072 1 0.9991
"28" "mlp_1" 0.8514 0.9991391142072 1 0.9991
"29" "mlp_3" 0.8514 0.9991391142072 1 0.9991
"30" "mlp_5" 0.8514 0.9991391142072 1 0.9991
"31" "mlp_7" 0.8514 0.9991391142072 1 0.9991
"32" "mlp_9" 0.8514 0.9991391142072 1 0.9991
"33" "avNNet_decay1e04" 0.8514 0.9991391142072 1 0.9991
"34" "avNNet_decay01" 0.8514 0.9991391142072 1 0.9991
"36" "pcaNNet" 0.8514 0.9991391142072 1 0.9991
