"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"125" "MinorityClass" -3.6518 0.149718897762426 0.1734 0.1497
"127" "PessimalClass" -3.4066 0.153864583457877 0 0.1539
"123" "RandomClass_C" -1.2012 0.622927212365534 0.7341 0.6229
"25" "NB" -0.7638 0.745989165825772 0.8092 0.746
"26" "NB_laplace" -0.7638 0.745989165825772 0.8092 0.746
"121" "RandomClass_A" -0.7513 0.748372311719301 0.6879 0.7484
"24" "W_NB" -0.7498 0.748660313220391 0.815 0.7487
"122" "RandomClass_B" -0.7439 0.749781432928459 0.7457 0.7498
"17" "sda_L1.0" -0.6261 0.77189773285254 0.8439 0.7719
"35" "avNNet_decay0" 0.045 0.858624614748237 0.8266 0.8586
"41" "svmRadialCost_C0.01" 0.045 0.858624614748237 0.8266 0.8586
"42" "svmRadialCost_C0.1" 0.045 0.858624614748237 0.8266 0.8586
"51" "svmPoly_d_1_s_0.001" 0.045 0.858624614748237 0.8266 0.8586
"54" "svmPoly_d_2_s_0.001" 0.045 0.858624614748237 0.8266 0.8586
"57" "svmPoly_d_3_s_0.001" 0.045 0.858624614748237 0.8266 0.8586
"124" "MajorityClass" 0.045 0.858624614748237 0.8266 0.8586
"114" "pls_ncomp1" 0.2118 0.874610215213601 0.8728 0.8746
"116" "simpls_ncomp1" 0.2118 0.874610215213601 0.8728 0.8746
"88" "cforest_mtry2" 0.4732 0.925305857429023 0.9306 0.9253
"113" "Ibk_k9" 0.4945 0.928890057409201 0.9306 0.9289
"37" "lvq_1" 0.5371 0.935325974410343 0.9364 0.9353
"119" "gcvEarth_d2" 0.5444 0.936330708413534 0.9306 0.9363
"107" "knn_k9" 0.5579 0.938093988178562 0.9422 0.9381
"36" "pcaNNet" 0.5628 0.938698611204454 0.9653 0.9387
"89" "cforest_mtry4" 0.5683 0.939372787842087 0.9422 0.9394
"3" "J48" 0.5865 0.941472996245734 0.9191 0.9415
"4" "J48Unp" 0.5865 0.941472996245734 0.9191 0.9415
"1" "c5.0" 0.5983 0.942728554954598 0.9249 0.9427
"120" "gcvEarth_d3" 0.6054 0.943442282755737 0.9653 0.9434
"82" "rrf_mtry4" 0.6078 0.943683034540876 0.9306 0.9437
"85" "rrf_mtry32" 0.6092 0.943818999856189 0.9306 0.9438
"86" "rrf_mtry64" 0.6092 0.943818999856189 0.9306 0.9438
"87" "rrf_mtry128" 0.6092 0.943818999856189 0.9306 0.9438
"105" "knn_k5" 0.6173 0.944584346552528 0.948 0.9446
"45" "svmLinear_C0.01" 0.6245 0.945234337672911 0.948 0.9452
"52" "svmPoly_d_1_s_0.01" 0.6245 0.945234337672911 0.948 0.9452
"81" "rrf_mtry2" 0.6388 0.946450679983873 0.9422 0.9465
"19" "fda_prune9" 0.662 0.948215999998321 0.948 0.9482
"20" "fda_prune17" 0.6671 0.948570273647471 0.9595 0.9486
"23" "mda_subc4" 0.6731 0.948978629117829 0.9538 0.949
"13" "JRip_Unp" 0.6804 0.949446928835652 0.9538 0.9494
"118" "gcvEarth_d1" 0.6868 0.949838328976143 0.9595 0.9498
"21" "mda_subc2" 0.6886 0.949946471208967 0.9538 0.9499
"22" "mda_subc3" 0.6919 0.950145592255699 0.9595 0.9501
"93" "cforest_mtry64" 0.6982 0.950506791951444 0.9595 0.9505
"90" "cforest_mtry8" 0.6998 0.950594580514691 0.9595 0.9506
"39" "lvq_5" 0.7005 0.950630344775806 0.948 0.9506
"106" "knn_k7" 0.7005 0.95063034814135 0.9538 0.9506
"112" "Ibk_k7" 0.7005 0.95063034814135 0.9538 0.9506
"94" "cforest_mtry128" 0.7037 0.950807559751625 0.9595 0.9508
"109" "Ibk_k2" 0.7041 0.950827036936996 0.948 0.9508
"38" "lvq_3" 0.7069 0.950978104619578 0.948 0.951
"104" "knn_k3" 0.7069 0.950978107950861 0.9538 0.951
"84" "rrf_mtry16" 0.7077 0.951023630410014 0.9306 0.951
"2" "c5.0_winnow" 0.7102 0.951151641250348 0.9364 0.9512
"18" "fda_prune2" 0.7293 0.952087477367411 0.9364 0.9521
"83" "rrf_mtry8" 0.7718 0.953799795797988 0.948 0.9538
"11" "ctree_c0.99" 0.804 0.954833724523087 0.9422 0.9548
"12" "JRip" 0.804 0.954833724523087 0.9422 0.9548
"70" "bagFDA_prune2" 0.8236 0.955377852651174 0.9364 0.9554
"8" "rpart" 0.8352 0.955671667922836 0.948 0.9557
"9" "ctree_c0.01" 0.8352 0.955671667922836 0.948 0.9557
"10" "ctree_c0.05" 0.8352 0.955671667922836 0.948 0.9557
"14" "PART" 0.855 0.95613849522843 0.9538 0.9561
"49" "svmLinear_C4" 0.8658 0.956373441679745 0.948 0.9564
"16" "sda_L0.5" 0.9142 0.957309123182149 0.9538 0.9573
"67" "gbm_3_100" 0.923 0.957462122935838 0.9653 0.9575
"15" "sda_L0.0" 0.9326 0.957622748485349 0.9538 0.9576
"60" "gbm_1_50" 0.9485 0.957880625860585 0.9538 0.9579
"63" "gbm_2_50" 0.9485 0.957880625860585 0.9538 0.9579
"110" "Ibk_k3" 0.9651 0.958138689454117 0.9595 0.9581
"92" "cforest_mtry32" 0.9741 0.958274577884937 0.9595 0.9583
"68" "gbm_3_150" 1.0214 0.958950263661352 0.9595 0.959
"43" "svmRadialCost_C1" 1.0241 0.958987487650405 0.9595 0.959
"74" "rf_mtry2" 1.0241 0.958987487650405 0.9595 0.959
"91" "cforest_mtry16" 1.0241 0.958987630233098 0.9653 0.959
"95" "parRF_mtry2" 1.0241 0.958987487650405 0.9595 0.959
"111" "Ibk_k5" 1.0241 0.958987487650405 0.9595 0.959
"115" "pls_ncomp2" 1.0241 0.958987487650405 0.9595 0.959
"117" "simpls_ncomp2" 1.0241 0.958987487650405 0.9595 0.959
"66" "gbm_3_50" 1.0371 0.959164583104766 0.9595 0.9592
"97" "parRF_mtry8" 1.0381 0.959178090002522 0.9595 0.9592
"103" "knn_k2" 1.0389 0.959189176134273 0.9538 0.9592
"75" "rf_mtry4" 1.1092 0.960118387839349 0.9653 0.9601
"96" "parRF_mtry4" 1.1092 0.960118387839349 0.9653 0.9601
"55" "svmPoly_d_2_s_0.01" 1.1249 0.960322917439756 0.9653 0.9603
"78" "rf_mtry32" 1.145 0.960587017796447 0.9595 0.9606
"79" "rf_mtry64" 1.145 0.960587017796447 0.9595 0.9606
"80" "rf_mtry128" 1.145 0.960587017796447 0.9595 0.9606
"98" "parRF_mtry16" 1.145 0.960587017796447 0.9595 0.9606
"99" "parRF_mtry32" 1.145 0.960587017796447 0.9595 0.9606
"101" "parRF_mtry128" 1.145 0.960587017796447 0.9595 0.9606
"69" "treeBag" 1.2829 0.962468286479927 0.9653 0.9625
"76" "rf_mtry8" 1.2829 0.962468286479927 0.9653 0.9625
"77" "rf_mtry16" 1.2829 0.962468286479927 0.9653 0.9625
"100" "parRF_mtry64" 1.2829 0.962468286479927 0.9653 0.9625
"72" "bagFDA_prune8" 1.3524 0.963507830220058 0.9653 0.9635
"61" "gbm_1_100" 1.3702 0.96378672425582 0.9711 0.9638
"62" "gbm_1_150" 1.3702 0.96378672425582 0.9711 0.9638
"64" "gbm_2_100" 1.3702 0.963786709911345 0.9653 0.9638
"65" "gbm_2_150" 1.3702 0.96378672425582 0.9711 0.9638
"33" "avNNet_decay1e04" 1.4332 0.964820440514962 0.9711 0.9648
"73" "bagFDA_prune16" 1.4332 0.964820609707319 0.9769 0.9648
"50" "svmLinear_C8" 1.5725 0.967340731963608 0.9538 0.9673
"28" "mlp_1" 1.6489 0.968766113076635 0.9595 0.9688
"59" "svmPoly_d_3_s_0.1" 1.6554 0.968883307241732 0.9711 0.9689
"108" "Ibk_k1" 1.6689 0.969127761563209 0.9595 0.9691
"102" "knn_k1" 1.7308 0.970180300724807 0.9653 0.9702
"126" "OptimalClass" 1.7386 0.970305335805399 1 0.9703
"48" "svmLinear_C2" 1.7983 0.97117909343137 0.9711 0.9712
"27" "rbf" 1.8246 0.971520955615164 0.9711 0.9715
"40" "SMV" 1.8246 0.971520955615164 0.9711 0.9715
"44" "svmRadialCost_C2" 1.8246 0.971521120432886 0.9769 0.9715
"46" "svmLineart_C0.1" 1.8246 0.971521120432886 0.9769 0.9715
"47" "svmLinear_C1" 1.8246 0.971521120432886 0.9769 0.9715
"56" "svmPoly_d_2_s_0.1" 1.8246 0.971521120432886 0.9769 0.9715
"58" "svmPoly_d_3_s_0.01" 1.8246 0.971520955615164 0.9711 0.9715
"71" "bagFDA_prune4" 1.8246 0.971521105805778 0.9711 0.9715
"7" "LMT_AIC" 1.8432 0.971745716460925 0.9769 0.9717
"29" "mlp_3" 1.8448 0.971765197242038 0.9769 0.9718
"5" "LMT" 1.8848 0.972202900459743 0.9769 0.9722
"6" "LMT_CV" 1.8848 0.972202900459743 0.9769 0.9722
"30" "mlp_5" 1.8848 0.972202900459743 0.9769 0.9722
"31" "mlp_7" 1.9212 0.972552680166494 0.9827 0.9726
"32" "mlp_9" 1.9212 0.972552680166494 0.9827 0.9726
"34" "avNNet_decay01" 1.9212 0.972552680166494 0.9827 0.9726
"53" "svmPoly_d_1_s_0.1" 1.9212 0.972552680166494 0.9827 0.9726
