"methods" "abil" "avgProbsT" "accuracy" "avgProbs"
"125" "MinorityClass" -1.9449 0.0300099495056286 0.2 0.03
"127" "PessimalClass" -1.9447 0.0300113700425191 0 0.03
"69" "treeBag" -1.3706 0.32894374283235 0.355 0.3289
"123" "RandomClass_C" -1.3635 0.349069541027639 0.36 0.3491
"121" "RandomClass_A" -1.3605 0.357632342845644 0.35 0.3576
"122" "RandomClass_B" -1.3584 0.363643372323611 0.395 0.3636
"124" "MajorityClass" -1.3456 0.401069147106591 0.4 0.4011
"50" "svmLinear_C8" -0.7894 0.817139704481371 0.985 0.8171
"49" "svmLinear_C4" -0.757 0.817331420869345 0.98 0.8173
"41" "svmRadialCost_C0.01" 0.0545 0.820030279502604 0.8 0.82
"45" "svmLinear_C0.01" 0.0545 0.820030279502604 0.8 0.82
"51" "svmPoly_d_1_s_0.001" 0.0545 0.820030279502604 0.8 0.82
"52" "svmPoly_d_1_s_0.01" 0.0545 0.820030279502604 0.8 0.82
"54" "svmPoly_d_2_s_0.001" 0.0545 0.820030279502604 0.8 0.82
"55" "svmPoly_d_2_s_0.01" 0.0545 0.820030279502604 0.8 0.82
"57" "svmPoly_d_3_s_0.001" 0.0545 0.820030279502604 0.8 0.82
"58" "svmPoly_d_3_s_0.01" 0.0545 0.820030279502604 0.8 0.82
"114" "pls_ncomp1" 0.0545 0.820030279502604 0.8 0.82
"115" "pls_ncomp2" 0.0545 0.820030279502604 0.8 0.82
"116" "simpls_ncomp1" 0.0545 0.820030279502604 0.8 0.82
"117" "simpls_ncomp2" 0.0545 0.820030279502604 0.8 0.82
"28" "mlp_1" 0.2385 0.87294495181115 0.875 0.8729
"40" "SMV" 0.5961 0.954829418750774 0.95 0.9548
"46" "svmLineart_C0.1" 0.6143 0.960025551612916 0.955 0.96
"56" "svmPoly_d_2_s_0.1" 0.6143 0.960025551612916 0.955 0.96
"18" "fda_prune2" 0.6221 0.962524012971871 0.975 0.9625
"70" "bagFDA_prune2" 0.624 0.963125535254513 0.975 0.9631
"71" "bagFDA_prune4" 0.6772 0.981819863599494 0.975 0.9818
"19" "fda_prune9" 0.6793 0.982329521333291 0.98 0.9823
"20" "fda_prune17" 0.6793 0.982329521333291 0.98 0.9823
"13" "JRip_Unp" 0.687 0.98409699608328 0.975 0.9841
"88" "cforest_mtry2" 0.6898 0.984674727246976 0.98 0.9847
"89" "cforest_mtry4" 0.6898 0.984674727246976 0.98 0.9847
"91" "cforest_mtry16" 0.6898 0.984674727246976 0.98 0.9847
"92" "cforest_mtry32" 0.6898 0.984674727246976 0.98 0.9847
"93" "cforest_mtry64" 0.6898 0.984674727246976 0.98 0.9847
"94" "cforest_mtry128" 0.6898 0.984674727246976 0.98 0.9847
"47" "svmLinear_C1" 0.697 0.986067097977009 0.985 0.9861
"53" "svmPoly_d_1_s_0.1" 0.697 0.986067097977009 0.985 0.9861
"1" "c5.0" 0.6995 0.98653323813394 0.985 0.9865
"2" "c5.0_winnow" 0.6995 0.98653323813394 0.985 0.9865
"3" "J48" 0.6995 0.98653323813394 0.985 0.9865
"4" "J48Unp" 0.6995 0.98653323813394 0.985 0.9865
"9" "ctree_c0.01" 0.6995 0.98653323813394 0.985 0.9865
"10" "ctree_c0.05" 0.6995 0.98653323813394 0.985 0.9865
"11" "ctree_c0.99" 0.6995 0.98653323813394 0.985 0.9865
"12" "JRip" 0.6995 0.98653323813394 0.985 0.9865
"14" "PART" 0.6995 0.98653323813394 0.985 0.9865
"90" "cforest_mtry8" 0.6995 0.98653323813394 0.985 0.9865
"34" "avNNet_decay01" 0.6999 0.986600350886401 0.99 0.9866
"59" "svmPoly_d_3_s_0.1" 0.6999 0.986600350886401 0.99 0.9866
"42" "svmRadialCost_C0.1" 0.702 0.986978698358101 0.99 0.987
"37" "lvq_1" 0.7026 0.987087906624511 0.995 0.9871
"60" "gbm_1_50" 0.9544 0.998242708543266 0.995 0.9982
"61" "gbm_1_100" 0.9544 0.998242708543266 0.995 0.9982
"62" "gbm_1_150" 0.9544 0.998242708543266 0.995 0.9982
"63" "gbm_2_50" 0.9544 0.998242708543266 0.995 0.9982
"64" "gbm_2_100" 0.9544 0.998242708543266 0.995 0.9982
"65" "gbm_2_150" 0.9544 0.998242708543266 0.995 0.9982
"66" "gbm_3_50" 0.9544 0.998242708543266 0.995 0.9982
"67" "gbm_3_100" 0.9544 0.998242708543266 0.995 0.9982
"68" "gbm_3_150" 0.9544 0.998242708543266 0.995 0.9982
"5" "LMT" 0.981 0.998394465513109 1 0.9984
"6" "LMT_CV" 0.981 0.998394465513109 1 0.9984
"7" "LMT_AIC" 0.981 0.998394465513109 1 0.9984
"8" "rpart" 0.981 0.998394465513109 1 0.9984
"15" "sda_L0.0" 0.981 0.998394465513109 1 0.9984
"16" "sda_L0.5" 0.981 0.998394465513109 1 0.9984
"17" "sda_L1.0" 0.981 0.998394465513109 1 0.9984
"21" "mda_subc2" 0.981 0.998394465513109 1 0.9984
"22" "mda_subc3" 0.981 0.998394465513109 1 0.9984
"23" "mda_subc4" 0.981 0.998394465513109 1 0.9984
"24" "W_NB" 0.981 0.998394465513109 1 0.9984
"25" "NB" 0.981 0.998394465513109 1 0.9984
"26" "NB_laplace" 0.981 0.998394465513109 1 0.9984
"27" "rbf" 0.981 0.998394465513109 1 0.9984
"29" "mlp_3" 0.981 0.998394465513109 1 0.9984
"30" "mlp_5" 0.981 0.998394465513109 1 0.9984
"31" "mlp_7" 0.981 0.998394465513109 1 0.9984
"32" "mlp_9" 0.981 0.998394465513109 1 0.9984
"33" "avNNet_decay1e04" 0.981 0.998394465513109 1 0.9984
"35" "avNNet_decay0" 0.981 0.998394465513109 1 0.9984
"36" "pcaNNet" 0.981 0.998394465513109 1 0.9984
"38" "lvq_3" 0.981 0.998394465513109 1 0.9984
"39" "lvq_5" 0.981 0.998394465513109 1 0.9984
"43" "svmRadialCost_C1" 0.981 0.998394465513109 1 0.9984
"44" "svmRadialCost_C2" 0.981 0.998394465513109 1 0.9984
"48" "svmLinear_C2" 0.981 0.998394465513109 1 0.9984
"72" "bagFDA_prune8" 0.981 0.998394465513109 1 0.9984
"73" "bagFDA_prune16" 0.981 0.998394465513109 1 0.9984
"74" "rf_mtry2" 0.981 0.998394465513109 1 0.9984
"75" "rf_mtry4" 0.981 0.998394465513109 1 0.9984
"76" "rf_mtry8" 0.981 0.998394465513109 1 0.9984
"77" "rf_mtry16" 0.981 0.998394465513109 1 0.9984
"78" "rf_mtry32" 0.981 0.998394465513109 1 0.9984
"79" "rf_mtry64" 0.981 0.998394465513109 1 0.9984
"80" "rf_mtry128" 0.981 0.998394465513109 1 0.9984
"81" "rrf_mtry2" 0.981 0.998394465513109 1 0.9984
"82" "rrf_mtry4" 0.981 0.998394465513109 1 0.9984
"83" "rrf_mtry8" 0.981 0.998394465513109 1 0.9984
"84" "rrf_mtry16" 0.981 0.998394465513109 1 0.9984
"85" "rrf_mtry32" 0.981 0.998394465513109 1 0.9984
"86" "rrf_mtry64" 0.981 0.998394465513109 1 0.9984
"87" "rrf_mtry128" 0.981 0.998394465513109 1 0.9984
"95" "parRF_mtry2" 0.981 0.998394465513109 1 0.9984
"96" "parRF_mtry4" 0.981 0.998394465513109 1 0.9984
"97" "parRF_mtry8" 0.981 0.998394465513109 1 0.9984
"98" "parRF_mtry16" 0.981 0.998394465513109 1 0.9984
"99" "parRF_mtry32" 0.981 0.998394465513109 1 0.9984
"100" "parRF_mtry64" 0.981 0.998394465513109 1 0.9984
"101" "parRF_mtry128" 0.981 0.998394465513109 1 0.9984
"102" "knn_k1" 0.981 0.998394465513109 1 0.9984
"103" "knn_k2" 0.981 0.998394465513109 1 0.9984
"104" "knn_k3" 0.981 0.998394465513109 1 0.9984
"105" "knn_k5" 0.981 0.998394465513109 1 0.9984
"106" "knn_k7" 0.981 0.998394465513109 1 0.9984
"107" "knn_k9" 0.981 0.998394465513109 1 0.9984
"108" "Ibk_k1" 0.981 0.998394465513109 1 0.9984
"109" "Ibk_k2" 0.981 0.998394465513109 1 0.9984
"110" "Ibk_k3" 0.981 0.998394465513109 1 0.9984
"111" "Ibk_k5" 0.981 0.99995990324719 0.995 1
"112" "Ibk_k7" 0.981 0.998394465513109 1 0.9984
"113" "Ibk_k9" 0.981 0.998394465513109 1 0.9984
"118" "gcvEarth_d1" 0.981 0.998394465513109 1 0.9984
"119" "gcvEarth_d2" 0.981 0.998394465513109 1 0.9984
"120" "gcvEarth_d3" 0.981 0.998394465513109 1 0.9984
"126" "OptimalClass" 0.981 0.998394465513109 1 0.9984
