"methods" "abil" "avgProbs" "accuracy"
"127" "MinorityClass" -2.00733045530624 0.351019673758862 0.3
"123" "RandomClass_A" -1.90664593430348 0.341101136198572 0.34
"116" "pls_ncomp3" -1.46378666728231 0.314899271265745 0
"119" "simpls_ncomp3" -1.46378666728231 0.314899271265745 0
"129" "PessimalClass" -1.46378666728231 0.314899271265745 0
"69" "treeBag" -1.4436230228522 0.315182463024642 0.38
"124" "RandomClass_B" -1.40373098922653 0.31647101537354 0.365
"41" "svmRadialCost_C0.01" -1.35701784916619 0.319272857476177 0.355
"51" "svmPoly_d_1_s_0.001" -1.35701784916619 0.319272857476177 0.355
"54" "svmPoly_d_2_s_0.001" -1.35701784916619 0.319272857476177 0.355
"57" "svmPoly_d_3_s_0.001" -1.35701784916619 0.319272857476177 0.355
"126" "MajorityClass" -1.35701784916619 0.319272857476177 0.355
"125" "RandomClass_C" -1.27897732662216 0.326868337112184 0.33
"103" "knn_k2" -0.746949258569982 0.438322052471654 0.5
"109" "Ibk_k2" -0.716344301013587 0.445141014173537 0.505
"108" "Ibk_k1" -0.702896261549839 0.448111569386894 0.52
"70" "bagFDA_prune2" -0.699791828073641 0.448794768899135 0.44
"102" "knn_k1" -0.699241983481554 0.448915671719561 0.525
"81" "rrf_mtry2" -0.606748014904753 0.468635370830535 0.5
"82" "rrf_mtry4" -0.606748014904753 0.468635370830535 0.5
"83" "rrf_mtry8" -0.606748014904753 0.468635370830535 0.5
"84" "rrf_mtry16" -0.606748014904753 0.468635370830535 0.5
"85" "rrf_mtry32" -0.606748014904753 0.468635370830535 0.5
"86" "rrf_mtry64" -0.606748014904753 0.468635370830535 0.5
"87" "rrf_mtry128" -0.606748014904753 0.468635370830535 0.5
"71" "bagFDA_prune4" -0.58303695460068 0.473327266640386 0.51
"128" "OptimalClass" -0.569803142303013 0.475844981894563 1
"27" "rbf" -0.30961990400855 0.520014776333258 0.585
"104" "knn_k3" -0.256008011412264 0.527241414229442 0.55
"96" "parRF_mtry4" -0.102654868815683 0.548046887949641 0.56
"98" "parRF_mtry16" -0.102109558648608 0.548130852537915 0.545
"99" "parRF_mtry32" -0.0923845839047744 0.549641799222178 0.555
"97" "parRF_mtry8" -0.0921444726995387 0.549679436595829 0.565
"75" "rf_mtry4" -0.0919672876732574 0.549707220828014 0.56
"95" "parRF_mtry2" -0.0806055515001585 0.551508213824922 0.56
"78" "rf_mtry32" -0.0783274529635087 0.55187413964479 0.56
"101" "parRF_mtry128" -0.075506486666093 0.552329634172952 0.555
"76" "rf_mtry8" -0.0700080763987214 0.553225304713345 0.565
"100" "parRF_mtry64" -0.0685184219881899 0.553469822414786 0.565
"74" "rf_mtry2" -0.066593096030058 0.553787068794436 0.565
"77" "rf_mtry16" -0.066593096030058 0.553787068794436 0.565
"79" "rf_mtry64" -0.066593096030058 0.553787068794436 0.565
"80" "rf_mtry128" -0.066593096030058 0.553787068794436 0.565
"18" "fda_prune2" 0.00960748558174888 0.567692575785466 0.55
"45" "svmLinear_C0.01" 0.0270779828242594 0.571221809935907 0.545
"52" "svmPoly_d_1_s_0.01" 0.0270779828242594 0.571221809935907 0.545
"55" "svmPoly_d_2_s_0.01" 0.0270779828242594 0.571221809935907 0.545
"58" "svmPoly_d_3_s_0.01" 0.0270779828242594 0.571221809935907 0.545
"114" "pls_ncomp1" 0.0270779828242594 0.571221809935907 0.545
"115" "pls_ncomp2" 0.0270779828242594 0.571221809935907 0.545
"117" "simpls_ncomp1" 0.0270779828242594 0.571221809935907 0.545
"118" "simpls_ncomp2" 0.0270779828242594 0.571221809935907 0.545
"40" "SMV" 0.0466837293573499 0.575200228729535 0.57
"46" "svmLineart_C0.1" 0.0466837293573499 0.575200228729535 0.57
"56" "svmPoly_d_2_s_0.1" 0.0466837293573499 0.575200228729535 0.57
"28" "mlp_1" 0.0585991942482354 0.577566757797836 0.555
"110" "Ibk_k3" 0.06228663966686 0.578284173680931 0.58
"9" "ctree_c0.01" 0.0803149442386001 0.581649855575186 0.615
"10" "ctree_c0.05" 0.0803149442386001 0.581649855575186 0.615
"65" "gbm_2_150" 0.103486029379229 0.58554581994867 0.56
"105" "knn_k5" 0.153127780172782 0.592239015154708 0.62
"68" "gbm_3_150" 0.170938168316849 0.594216949649662 0.59
"67" "gbm_3_100" 0.212750143373471 0.598330253150516 0.595
"111" "Ibk_k5" 0.261854086761025 0.602600407210702 0.65
"47" "svmLinear_C1" 0.348716919907646 0.609484501076766 0.605
"48" "svmLinear_C2" 0.348716919907646 0.609484501076766 0.605
"49" "svmLinear_C4" 0.348716919907646 0.609484501076766 0.605
"50" "svmLinear_C8" 0.348716919907646 0.609484501076766 0.605
"64" "gbm_2_100" 0.51157721308777 0.622260019888584 0.61
"66" "gbm_3_50" 0.557526735489985 0.626493290788502 0.625
"63" "gbm_2_50" 0.558600768706546 0.626599084180969 0.61
"60" "gbm_1_50" 0.568721072750571 0.627613244709862 0.61
"62" "gbm_1_150" 0.579147842136994 0.628691857480039 0.64
"61" "gbm_1_100" 0.61845765624716 0.633077793484827 0.64
"37" "lvq_1" 0.628700670655825 0.634300750543924 0.645
"38" "lvq_3" 0.638746236667651 0.635528108466997 0.64
"113" "Ibk_k9" 0.668358284469504 0.639263989246901 0.65
"112" "Ibk_k7" 0.673201481907432 0.639884435881592 0.645
"120" "gcvEarth_d1" 0.689146590540863 0.641925422272505 0.645
"121" "gcvEarth_d2" 0.695383370798227 0.642717882077209 0.66
"122" "gcvEarth_d3" 0.695383370798227 0.642717882077209 0.66
"106" "knn_k7" 0.698737774376113 0.643141575505426 0.65
"107" "knn_k9" 0.716421141862645 0.645331635208151 0.66
"36" "pcaNNet" 0.744162798707493 0.648541221841952 0.635
"42" "svmRadialCost_C0.1" 0.763139949652701 0.650521887387323 0.625
"13" "JRip_Unp" 0.773937772251014 0.651561215598717 0.63
"15" "sda_L0.0" 0.784147419776153 0.652484680589674 0.635
"17" "sda_L1.0" 0.785667076757345 0.652617269753307 0.645
"16" "sda_L0.5" 0.798605885787047 0.653696578138074 0.65
"33" "avNNet_decay1e04" 0.804158755910845 0.654133437538313 0.645
"39" "lvq_5" 0.813390269520998 0.654826626874014 0.665
"59" "svmPoly_d_3_s_0.1" 0.824504032200902 0.655609775236178 0.645
"5" "LMT" 0.895422270615573 0.659603884478161 0.645
"35" "avNNet_decay0" 0.97319955966697 0.662810803686867 0.65
"53" "svmPoly_d_1_s_0.1" 1.10601994420946 0.66696730830053 0.675
"21" "mda_subc2" 1.10607343868003 0.666968746544714 0.67
"19" "fda_prune9" 1.14811497210233 0.66804913420034 0.65
"20" "fda_prune17" 1.14811497210233 0.66804913420034 0.65
